text,level,conf,height
,1,-1.0,917
,2,-1.0,143
,3,-1.0,143
,4,-1.0,24
REPUBLICAN,5,96.554588,24
,4,-1.0,23
REALISM,5,95.9021,23
IN,5,96.246193,15
,4,-1.0,23
RENAISSANCE,5,95.600716,23
,4,-1.0,24
FLORENCE,5,96.943993,24
,2,-1.0,92
,3,-1.0,92
,4,-1.0,18
FRANCESCO,5,95.661591,18
,4,-1.0,20
GuIcciarDINI's,5,32.606819,20
,4,-1.0,20
DIscoRsO,5,63.239075,19
DI,5,92.98465,14
LOGROGNO,5,92.328049,19
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
oo,5,11.75795,9
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Aruanasios,5,0.0,15
Moutakis,5,34.419647,15
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Rowman,5,93.25724,11
&,5,93.089722,12
Lirtieriep,5,46.602386,11
,2,-1.0,917
,3,-1.0,917
,4,-1.0,917
 ,5,95.0,917
