text,level,conf,height
,1,-1.0,667
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Agent-Based,5,96.026329,14
Social,5,96.921585,11
Systems,5,96.583717,14
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Volume,5,95.13929,9
9,5,95.870392,10
,2,-1.0,25
,3,-1.0,25
,4,-1.0,8
Editor,5,92.048004,8
in,5,96.60257,8
Chie:,5,34.936516,8
,4,-1.0,9
Hivos,5,8.095428,7
"Deguchi,",5,54.478016,9
"Yokohama,",5,28.190727,7
Japan,5,48.967873,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,73
,3,-1.0,49
,4,-1.0,8
series,5,33.187637,8
Editors:,5,49.237701,8
,4,-1.0,9
Shu-Heng,5,74.350418,9
"Chea,",5,73.736916,7
"Tape,",5,42.863937,9
"Taian,",5,55.848385,7
ROC,5,93.648689,7
,4,-1.0,7
(Caio,5,49.756882,7
Ciof-,5,0.0,28
"Revilla,",5,58.155865,28
"aif,",5,42.309448,7
USA,5,92.398476,7
,4,-1.0,9
‘Nigel,5,47.170467,9
"Gilbert,",5,57.545174,7
"Guilford,",5,46.831173,7
UK,5,89.563103,7
,3,-1.0,9
,4,-1.0,9
Hajime,5,64.756027,9
"Kita,",5,69.058807,7
Kyoto,5,65.290169,7
Japan,5,65.290169,9
,3,-1.0,9
,4,-1.0,9
“Takao,5,59.934799,7
"Terano,",5,17.455536,7
"Yokohama,",5,49.448334,7
Japan,5,52.728737,9
