text,level,conf,height
,1,-1.0,667
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
SPRINGER,5,96.871841,12
BRIEFS,5,96.527794,12
IN,5,96.43309,12
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
ELECTRICAL,5,96.664299,12
AND,5,96.842072,12
COMPUTER,5,96.058174,12
ENGINEERING,5,96.191818,12
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
Isabel,5,87.882103,19
Barbancho,5,96.727928,31
,2,-1.0,667
,3,-1.0,667
,4,-1.0,335
    ,5,95.0,335
,4,-1.0,130
  ,5,95.0,130
 ,5,95.0,58
,4,-1.0,202
 ,5,95.0,202
,2,-1.0,223
,3,-1.0,223
,4,-1.0,43
Database,5,96.792877,43
of,5,96.792877,43
,4,-1.0,43
Piano,5,96.962196,42
Chords,5,96.727852,43
,4,-1.0,53
An,5,96.949638,41
Engineering,5,96.817299,53
,4,-1.0,55
View,5,96.383926,40
of,5,96.473885,43
Harmony,5,96.473885,53
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
D,5,61.478954,28
Springer,5,96.795227,22
