text,level,conf,height
,1,-1.0,743
,2,-1.0,492
,3,-1.0,492
,4,-1.0,492
 ,5,95.0,492
,2,-1.0,55
,3,-1.0,55
,4,-1.0,20
Stay,5,96.199211,19
within,5,96.199211,15
1%,5,95.992256,15
of,5,95.992256,16
budget,5,95.794075,19
,4,-1.0,22
Track,5,95.560364,16
progress,5,95.560364,17
and,5,96.875099,15
control,5,96.026001,15
costs,5,95.601265,14
,2,-1.0,99
,3,-1.0,99
,4,-1.0,20
Save,5,94.762077,16
time,5,94.762077,15
and,5,96.82515,16
money,5,96.50843,16
with,5,96.50843,16
,4,-1.0,19
ready-to-use,5,96.584679,19
worksheets,5,96.582947,15
,4,-1.0,16
Work,5,96.842278,15
with,5,96.682312,15
"lenders,",5,95.619331,16
"realtors,",5,96.951851,16
,4,-1.0,15
and,5,92.456139,15
architects,5,81.038269,15
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
J.M.,5,90.427055,23
Gore,5,96.605911,23
and,5,96.476181,25
William,5,96.19191,24
Null,5,95.662132,25
,2,-1.0,196
,3,-1.0,196
,4,-1.0,196
  ,5,95.0,196
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,739
,3,-1.0,739
,4,-1.0,739
 ,5,95.0,739
