text,level,conf,height
,1,-1.0,667
,2,-1.0,27
,3,-1.0,27
,4,-1.0,11
Husrev,5,74.10186,11
Taha,5,96.932213,11
Sencar,5,93.219559,11
.,5,0.544647,28
Nasir,5,91.297241,11
Memon,5,91.121582,11
,4,-1.0,9
Editors,5,93.70443,9
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
Digital,5,96.816216,25
Image,5,96.816216,25
Forensics,5,96.432755,19
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
There,5,96.916039,12
is,5,96.917259,12
More,5,96.929787,12
to,5,96.897552,10
a,5,95.531822,8
Picture,5,96.941048,12
than,5,96.886276,12
Meets,5,96.833084,12
the,5,96.763084,12
Eye,5,96.895096,16
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
®D,5,36.859909,31
Springer,5,96.500008,18
