text,level,conf,height
,1,-1.0,684
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Advances,5,94.319183,12
in,5,96.199493,9
Information,5,95.992332,13
Security,5,96.276649,15
55,5,96.276649,12
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
Robinson,5,34.569817,20
E.,5,34.569817,19
Pino,5,95.48571,19
Editor,5,90.7593,19
,2,-1.0,110
,3,-1.0,110
,4,-1.0,42
Network,5,96.621162,42
Science,5,96.621162,41
,4,-1.0,54
and,5,96.57074,42
Cybersecurity,5,93.091225,54
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,86.116333,29
Springer,5,96.177582,31
