text,level,conf,height
,1,-1.0,684
,2,-1.0,47
,3,-1.0,47
,4,-1.0,19
Pablo,5,95.634583,19
Ivan,5,88.442139,19
Az6car,5,31.013824,19
Fernandez,5,94.486572,19
,4,-1.0,20
Manfred,5,96.600487,20
Ferdinand,5,93.30616,19
Buchroithner,5,91.140221,19
,2,-1.0,110
,3,-1.0,110
,4,-1.0,54
Paradigms,5,94.715248,54
in,5,94.715248,40
,4,-1.0,54
Cartography,5,96.900826,54
,2,-1.0,48
,3,-1.0,48
,4,-1.0,26
An,5,92.428444,19
Epistemological,5,92.428444,25
Review,5,96.614113,19
of,5,96.872131,20
the,5,96.872131,19
20th,5,96.959656,19
,4,-1.0,20
and,5,96.894958,20
21st,5,94.08857,19
Centuries,5,96.04213,19
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,86.376915,29
Springer,5,96.135529,31
