text,level,conf,height
,1,-1.0,684
,2,-1.0,603
,3,-1.0,603
,4,-1.0,603
 ,5,95.0,603
,2,-1.0,47
,3,-1.0,47
,4,-1.0,25
Ferdinando,5,96.87056,19
Urbano,5,93.096733,19
-,5,78.669594,3
Francesca,5,93.305984,19
Cagnacci,5,92.573273,25
,4,-1.0,19
Editors,5,96.793991,19
,2,-1.0,166
,3,-1.0,166
,4,-1.0,54
Spatial,5,96.730377,54
Database,5,96.975166,43
,4,-1.0,43
for,5,96.921806,43
GPS,5,96.739403,42
Wildlife,5,96.873367,43
,4,-1.0,54
Tracking,5,96.870232,54
Data,5,96.933922,42
,2,-1.0,75
,3,-1.0,75
,4,-1.0,25
A,5,16.116066,19
Practical,5,16.116066,19
Guide,5,96.874893,19
to,5,96.874893,17
Creating,5,95.419441,25
a,5,94.327782,14
Data,5,94.327782,19
,4,-1.0,25
Management,5,96.8367,25
System,5,96.8367,25
with,5,93.282799,19
PostgreSQL/,5,92.400131,25
,4,-1.0,19
PostGIS,5,74.150078,19
and,5,93.30378,19
R,5,93.252571,19
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
Foreword,5,96.309105,17
by,5,96.309105,22
Ran,5,96.806076,16
Nathan,5,96.253113,17
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
EXTRA,5,95.772888,10
,2,-1.0,41
,3,-1.0,41
,4,-1.0,41
ey,5,41.014156,40
a,5,85.666504,29
Springer,5,96.208511,31
