text,level,conf,height
,1,-1.0,684
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Michael,5,93.280426,19
Paschen,5,89.673218,19
-,5,82.604729,2
Erich,5,93.291145,19
Dihsmaier,5,90.255051,19
,2,-1.0,97
,3,-1.0,97
,4,-1.0,47
The,5,96.999847,36
Psychology,5,96.742744,47
,4,-1.0,47
of,5,96.848595,38
Human,5,96.184898,38
Leadership,5,96.905457,46
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,684
,3,-1.0,684
,4,-1.0,684
 ,5,95.0,684
,2,-1.0,144
,3,-1.0,144
,4,-1.0,114
At,5,7.273857,114
FE,5,37.43948,110
.,5,49.70871,7
,4,-1.0,69
"ya,""",5,8.107117,18
ae,5,40.811089,69
,2,-1.0,118
,3,-1.0,118
,4,-1.0,118
Ge,5,35.926079,118
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
How,5,95.958138,19
to,5,95.134903,16
Develop,5,95.134903,25
Charisma,5,94.82869,20
and,5,96.979424,20
Authority,5,96.861961,25
,2,-1.0,69
,3,-1.0,69
,4,-1.0,69
S_,5,0.646255,101
ila,5,19.755264,69
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
cay,5,44.013348,37
Springer,5,96.756386,22
,2,-1.0,144
,3,-1.0,144
,4,-1.0,144
oe!,5,31.136841,190
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
