text,level,conf,height
,1,-1.0,794
,2,-1.0,794
,3,-1.0,794
,4,-1.0,288
  ,5,95.0,163
  ,5,95.0,137
,4,-1.0,75
 ,5,95.0,43
  ,5,95.0,75
,4,-1.0,17
 ,5,95.0,17
,4,-1.0,34
   ,5,95.0,34
,4,-1.0,33
   ,5,95.0,33
,4,-1.0,32
   ,5,95.0,32
,4,-1.0,33
   ,5,95.0,33
,4,-1.0,35
   ,5,95.0,35
,4,-1.0,33
   ,5,95.0,33
,4,-1.0,58
    ,5,95.0,58
,4,-1.0,156
    ,5,95.0,156
,2,-1.0,119
,3,-1.0,119
,4,-1.0,119
   ,5,95.0,119
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,84
,3,-1.0,84
,4,-1.0,84
 ,5,95.0,84
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,154
,3,-1.0,154
,4,-1.0,12
a,5,8.58699,2
e,5,9.874657,12
,4,-1.0,85
Encyclopedia,5,96.712265,85
,4,-1.0,23
Natural,5,96.433121,23
Secrets,5,96.433121,23
to,5,96.772728,16
,4,-1.0,33
"Healing,",5,89.726921,32
"Prevention,",5,89.726921,29
&,5,93.289474,22
Longevity,5,95.228844,31
,2,-1.0,157
,3,-1.0,157
,4,-1.0,135
  ,5,95.0,135
,4,-1.0,22
  ,5,95.0,22
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
HERBOLOGY,5,92.207954,10
+,5,74.698784,28
NUTRITION,5,95.039925,10
+,5,89.298325,4
PANCHA,5,92.441711,10
KARMA,5,96.871178,9
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
AROMATHERAPY,5,92.934708,10
*,5,46.993137,3
HATHA,5,96.494904,9
YOGA,5,96.494904,9
+,5,74.236298,4
PRANAYAMA,5,92.734673,10
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
 ,5,95.0,36
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
MEDITATION,5,95.616234,10
+,5,57.176609,3
SOUND,5,96.587952,10
THERAPY,5,96.948898,9
+,5,61.276226,4
COLOR,5,94.896523,10
THERAPY,5,96.585968,10
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
 ,5,95.0,25
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
E,5,6.255707,9
,2,-1.0,117
,3,-1.0,117
,4,-1.0,14
GEM,5,96.941986,10
THERAPY,5,96.674782,10
+,5,49.042927,3
EXERCISE,5,96.451843,10
+,5,75.503967,4
LIFESTYLE,5,94.754639,10
COUNSELING,5,96.702599,11
ial,5,29.706512,10
,4,-1.0,12
SPIRITUAL,5,96.450905,10
COUNSELING,5,96.439339,10
+,5,63.396191,3
CIRCULATORY,5,96.645378,10
SYSTEM,5,96.051262,10
,4,-1.0,11
DIGESTIVE,5,96.646584,10
SYSTEM,5,92.128746,10
+,5,88.592941,30
RESPIRATORY,5,94.626244,10
SYSTEM,5,75.821548,10
,4,-1.0,18
URINARY,5,95.484016,10
SYSTEM,5,95.991913,9
+,5,69.679291,4
NERVOUS,5,92.688156,10
SYSTEM,5,96.92218,10
ae,5,45.5354,18
,2,-1.0,45
,3,-1.0,45
,4,-1.0,45
  ,5,95.0,32
 ,5,95.0,13
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
REPRODUCTIVE,5,96.789597,10
SYSTEM,5,93.240829,10
»,5,47.112236,4
IMMUNE.,5,61.798599,12
SYSTEM™,5,39.416977,14
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
METABOLIC,5,94.146378,11
SYSTEM,5,93.035072,10
»,5,54.176601,30
INFECTIONS,5,96.935753,17
AND,5,96.322815,15
WOUNDS,5,96.341957,10
