text,level,conf,height
,1,-1.0,664
,2,-1.0,332
,3,-1.0,332
,4,-1.0,230
  ,5,95.0,174
  ,5,95.0,116
,4,-1.0,102
 ,5,95.0,22
  ,5,95.0,102
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
BILL,5,96.414139,10
WOODWARD,5,96.414139,11
,2,-1.0,133
,3,-1.0,133
,4,-1.0,58
FIBER,5,96.741379,56
OPTICS,5,95.837288,58
,4,-1.0,68
INSTALLER,5,96.650894,58
(FOI),5,83.565826,68
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
CERTIFICATION,5,96.574615,29
EXAM,5,96.042023,28
GUIDE,5,96.743645,29
,2,-1.0,415
,3,-1.0,415
,4,-1.0,415
 ,5,95.0,415
