text,level,conf,height
,1,-1.0,667
,2,-1.0,45
,3,-1.0,45
,4,-1.0,45
Cyser,5,34.514175,45
WARFARE,5,40.61425,45
,2,-1.0,36
,3,-1.0,36
,4,-1.0,17
"Techniques,",5,96.68808,17
Tactics,5,96.986824,14
and,5,96.603317,13
Tools,5,94.972488,14
for,5,96.430199,14
Security,5,96.59198,17
Practitioners,5,88.851349,14
,4,-1.0,14
Second,5,78.640869,14
Edition,5,93.919205,14
,2,-1.0,96
,3,-1.0,96
,4,-1.0,96
Ng,5,90.89225,96
,2,-1.0,56
,3,-1.0,56
,4,-1.0,56
Jason,5,95.17083,15
Andress,5,96.170189,15
é,5,6.687164,50
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Steve,5,92.998108,15
Winterfeld,5,92.132317,15
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
 ,5,95.0,43
