text,level,conf,height
,1,-1.0,667
,2,-1.0,109
,3,-1.0,109
,4,-1.0,109
SYNGRESS,5,75.159668,109
,2,-1.0,140
,3,-1.0,140
,4,-1.0,40
FISMA,5,91.510429,40
AND,5,61.18372,28
THE,5,96.018837,28
,4,-1.0,39
Risk,5,96.163254,39
MANAGEMENT,5,96.16098,39
,4,-1.0,40
FRAMEWORK,5,96.231293,40
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
The,5,96.959854,14
New,5,96.739052,14
Practice,5,96.635651,14
of,5,96.062767,14
Federal,5,95.237808,14
Cyber,5,95.237808,17
Security,5,95.679527,17
,2,-1.0,194
,3,-1.0,194
,4,-1.0,138
\,5,50.824677,138
,4,-1.0,126
Stephen,5,93.253685,19
D.,5,93.106537,14
Gantz,5,96.786446,15
—),5,33.632843,126
,4,-1.0,19
Daniel,5,93.270004,15
R.,5,92.379669,15
Philpott,5,87.489731,19
