text,level,conf,height
,1,-1.0,666
,2,-1.0,95
,3,-1.0,95
,4,-1.0,45
UTM,5,96.85083,45
Security,5,93.752533,45
wit,5,12.011528,31
,4,-1.0,45
FORTINET,5,96.058228,45
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Mastering,5,91.191643,17
FortiOS,5,54.518829,14
,2,-1.0,109
,3,-1.0,109
,4,-1.0,109
SYNGRESS,5,90.158707,109
,2,-1.0,120
,3,-1.0,15
,4,-1.0,15
Kenneth,5,96.644928,15
Tam,5,95.870651,14
,3,-1.0,40
,4,-1.0,15
Martin,5,93.239044,15
H.,5,92.517166,15
Hoz,5,92.817734,15
Salvador,5,96.522491,15
,4,-1.0,19
Ken,5,96.698456,15
McAlpine,5,86.987991,19
,3,-1.0,15
,4,-1.0,15
Rick,5,96.505325,15
Basile,5,95.462921,15
,3,-1.0,19
,4,-1.0,19
Bruce,5,93.303627,15
Matsugu,5,93.114159,19
,3,-1.0,15
,4,-1.0,15
Josh,5,93.144386,15
More,5,96.948654,15
