text,level,conf,height
,1,-1.0,792
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,218
,3,-1.0,218
,4,-1.0,84
By,5,43.372658,84
,4,-1.0,59
APPLE,5,96.563629,58
MAIL,5,96.84684,59
,2,-1.0,111
,3,-1.0,107
,4,-1.0,54
§,5,58.706825,39
MAIL,5,95.598404,45
IN,5,95.598404,41
,4,-1.0,97
COVER,5,32.293831,97
&iOS,5,85.190605,35
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
7,5,96.893593,27
,2,-1.0,47
,3,-1.0,47
,4,-1.0,22
by,5,96.500076,22
JOE,5,93.121872,16
KISSELL,5,92.859016,16
,4,-1.0,20
$15,5,93.28167,20
,2,-1.0,778
,3,-1.0,778
,4,-1.0,778
 ,5,95.0,778
