text,level,conf,height
,1,-1.0,792
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
TAKE,5,96.725342,15
CONTROL,5,96.333954,15
OF,5,96.840004,15
,2,-1.0,81
,3,-1.0,81
,4,-1.0,81
APPLE,5,96.707359,80
TV,5,96.95208,80
,2,-1.0,56
,3,-1.0,56
,4,-1.0,56
WATCH,5,96.382851,37
MOVIES,5,96.936714,38
&,5,82.375923,30
TV,5,76.809601,32
,2,-1.0,196
,3,-1.0,196
,4,-1.0,55
LISTEN,5,93.039116,38
T0,5,84.47039,32
MUSIC,5,73.797302,52
,4,-1.0,51
DISPLAY,5,96.625671,40
PHOTOS,5,96.858322,39
,4,-1.0,57
GIVE,5,96.954353,35
PRESENTATIONS,5,96.643158,50
,4,-1.0,45
PLAY,5,96.891968,35
GAMES,5,96.579628,37
,2,-1.0,47
,3,-1.0,47
,4,-1.0,22
by,5,95.608643,22
JOSH,5,95.608643,16
CENT,5,96.374962,16
,4,-1.0,16
E,5,88.841278,16
,4,-1.0,47
$10,5,96.204788,20
RS,5,96.201485,16
,2,-1.0,778
,3,-1.0,778
,4,-1.0,778
 ,5,95.0,778
