text,level,conf,height
,1,-1.0,798
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
wfore,5,0.0,7
ema,5,29.296288,6
fevew,5,0.0,9
,2,-1.0,145
,3,-1.0,145
,4,-1.0,26
PLAN,5,96.358643,26
,4,-1.0,26
PLANT,5,96.630989,26
,4,-1.0,27
PLANET,5,96.261452,27
,2,-1.0,246
,3,-1.0,246
,4,-1.0,246
 ,5,95.0,246
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
BY,5,96.382812,9
TERENCE,5,96.782875,10
MCKENNA,5,71.978775,10
,2,-1.0,112
,3,-1.0,112
,4,-1.0,9
UR,5,47.926044,28
PRESENT,5,95.489105,28
GLOBAL,5,95.828712,28
CRISS,5,73.121399,28
,4,-1.0,9
‘more,5,54.589439,28
prfound,5,42.132385,9
than,5,42.132385,28
any,5,50.437935,28
previous,5,50.437935,28
,4,-1.0,9
"Fistoricalerises,",5,0.0,9
hence,5,60.39352,28
out,5,60.39352,28
sls,5,35.578278,28
,4,-1.0,8
tlons,5,0.0,28
muse,5,73.257149,28
be,5,73.257149,28
equally,5,78.815834,28
dsc,5,58.862995,28
,4,-1.0,9
Propose,5,31.277229,28
that,5,60.234455,28
we,5,74.888481,28
should,5,83.613625,28
ape,5,48.506119,28
the,5,73.509949,28
,4,-1.0,10
plane,5,42.043678,28
asthe,5,42.043678,28
orpnsational,5,0.0,10
mode!,5,43.09584,28
,4,-1.0,10
for,5,46.107849,28
life,5,38.820034,28
inthe,5,38.820034,28
Zs,5,0.0,8
"cencury,",5,13.797318,28
js,5,75.227509,8
asthe,5,67.072678,28
computer,5,67.072678,28
,4,-1.0,8
seems,5,76.192886,28
9,5,34.460175,5
be,5,62.006996,28
the,5,62.006996,28
dominant,5,84.504051,28
mevtl/scal,5,31.504555,8
model,5,66.937752,28
,4,-1.0,10
(ofthe,5,46.729805,28
lace,5,56.665672,28
20th,5,56.665672,28
Ceneury,5,31.139328,28
and,5,65.498871,28
the,5,80.064941,28
seam,5,73.215576,28
engine,5,76.417168,28
,4,-1.0,9
wat,5,56.454067,28
che,5,62.617222,7
pulding,5,37.438156,9
image,5,72.550201,9
of,5,55.644833,28
che,5,55.644833,28
(th,5,79.080849,7
Censury,5,0.0,8
,2,-1.0,126
,3,-1.0,32
,4,-1.0,10
‘This,5,71.265854,28
means,5,61.990681,28
reaching,5,47.090302,28
back,5,74.198059,28
in,5,42.500282,5
tine,5,0.0,28
2,5,52.008446,5
moses,5,12.77375,28
hat,5,59.414185,28
,4,-1.0,10
were,5,37.321682,28
succesfl,5,27.482338,28
"15,0",5,69.16507,28
to,5,46.656723,28
"20,000",5,62.095844,28
yeas,5,60.798565,28
wg,5,45.067196,28
When,5,75.387199,28
,4,-1.0,10
this,5,78.157845,28
is,5,35.782867,28
done,5,56.830666,28
c,5,64.685364,5
becomes,5,62.292351,28
possible,5,39.752041,28
co,5,57.441257,28
see,5,47.207375,28
