text,level,conf,height
,1,-1.0,500
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,500
,3,-1.0,500
,4,-1.0,500
 ,5,95.0,500
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
THE,5,96.484375,14
,2,-1.0,267
,3,-1.0,267
,4,-1.0,267
   ,5,95.0,267
,2,-1.0,64
,3,-1.0,64
,4,-1.0,12
AGuided,5,92.22506,12
,4,-1.0,16
Tour,5,96.921165,11
of,5,96.994095,16
"Math,",5,96.949051,14
,4,-1.0,15
from,5,93.791634,15
One,5,85.714417,12
to,5,85.714417,10
,2,-1.0,53
,3,-1.0,53
,4,-1.0,22
 ,5,95.0,22
,4,-1.0,29
 ,5,95.0,29
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Infinity,5,96.313248,16
,2,-1.0,37
,3,-1.0,37
,4,-1.0,15
STEVEN,5,92.248878,14
STROGATZ,5,89.876892,15
,4,-1.0,11
READ,5,95.979568,9
BY,5,95.979568,10
JONATHAN,5,94.507858,11
YEN,5,94.507858,10
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,500
,3,-1.0,500
,4,-1.0,500
 ,5,95.0,500
