text,level,conf,height
,1,-1.0,842
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
www.cheniere.org,5,90.576836,23
,2,-1.0,128
,3,-1.0,128
,4,-1.0,128
 ,5,95.0,128
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Support,5,96.339027,13
Free,5,91.584633,10
Energy,5,96.948738,10
and,5,93.411728,10
purchase,5,96.901535,13
the,5,96.963127,11
bumper,5,96.523033,12
sticker,5,96.963135,10
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
‘The,5,93.608536,9
New,5,95.304459,9
Tesla,5,96.053261,9
Electromagnetics,5,73.377953,12
and,5,96.917107,9
the,5,96.886871,9
Secrets,5,96.806831,9
of,5,96.986183,8
Electrical,5,95.204086,9
Free,5,96.796295,9
Energy,5,94.059647,12
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
By,5,96.30027,8
"TE,",5,79.400711,8
Bearden,5,84.59008,8
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
 ,5,95.0,15
,2,-1.0,124
,3,-1.0,37
,4,-1.0,8
©,5,74.241524,8
1984,5,85.085632,7
,4,-1.0,8
‘Table,5,78.479469,8
of,5,94.862549,8
C,5,74.946381,8
,3,-1.0,8
,4,-1.0,8
Foreword,5,78.761993,8
,3,-1.0,10
,4,-1.0,10
‘Comments,5,82.504501,8
on,5,94.820206,5
the,5,96.835892,7
New,5,96.713455,28
Tesla,5,94.827194,8
Electromagnetics:,5,87.813019,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
  ,5,95.0,9
,2,-1.0,23
,3,-1.0,23
,4,-1.0,11
Part:,5,73.862885,8
Discrepancies,5,79.808022,11
in,5,69.546799,5
the,5,69.546799,8
Present,5,96.835526,8
EM,5,96.984169,8
Theory,5,96.062897,8
,4,-1.0,8
by,5,88.720558,7
T.E.,5,48.543018,8
Bearden,5,93.022591,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,37
,3,-1.0,37
,4,-1.0,8
Tesla,5,48.19479,8
E,5,48.19479,28
,4,-1.0,8
Part,5,80.350388,8
I:,5,52.07634,8
The,5,52.07634,8
Secret,5,69.062683,6
of,5,71.548637,6
Eleczial,5,4.835587,8
Free,5,93.284515,8
Enerey,5,13.185501,8
,4,-1.0,8
by,5,90.804062,7
T.E.,5,53.417488,8
Bearden,5,81.610352,8
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
‘Comments,5,48.694107,8
om,5,48.694107,5
the,5,68.747215,7
ctromagneties:,5,53.234261,8
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,23
,3,-1.0,23
,4,-1.0,10
Overture,5,70.34494,7
to,5,51.815453,6
New,5,40.338173,8
Age,5,96.448486,7
Technology,5,87.984802,10
,4,-1.0,8
by,5,94.85202,7
Dr.,5,82.979408,8
Rolf,5,92.8601,8
Schaffranke,5,61.91468,8
,2,-1.0,50
,3,-1.0,36
,4,-1.0,11
REVIEW,5,95.128265,8
AND,5,96.286476,8
OUTLOOK,5,76.760803,8
-,5,92.67762,1
The,5,95.558807,8
Development,5,96.822754,11
of,5,96.822754,7
Post,5,51.063271,8
,4,-1.0,10
Relativistic,5,91.677078,8
Concepts,5,73.052597,10
in,5,73.052597,5
Physics,5,86.888916,8
and,5,92.832321,8
Advanced,5,95.602837,8
Technol,5,63.694244,8
,4,-1.0,8
Abroad,5,90.138786,8
,3,-1.0,8
,4,-1.0,8
by,5,93.174042,7
Dr.,5,82.636826,8
Rolf,5,91.446434,8
Schaffrancke,5,72.219833,8
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
 ,5,95.0,17
