text,level,conf,height
,1,-1.0,552
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
PETRARCA,5,86.207207,6
+,5,59.710445,3
VALLA,5,91.073654,6
+,5,53.115543,3
FICINO,5,88.615868,6
«,5,46.981487,28
PICO:,5,10.973221,6
ROMPONAZZI,5,35.337006,7
+,5,48.902557,2
VIVES.,5,57.514313,7
,2,-1.0,58
,3,-1.0,58
,4,-1.0,21
The,5,96.964622,20
Renaissance,5,96.682716,19
,4,-1.0,27
Philosophy,5,96.840042,27
of,5,97.001144,20
Man,5,96.308311,17
,2,-1.0,43
,3,-1.0,43
,4,-1.0,10
Seecton,5,0.0,8
in,5,48.773746,4
"tralation,",5,53.969353,8
ted,5,60.267197,10
by,5,77.171722,28
,4,-1.0,8
[ERNST,5,60.69722,7
CASSIRER,5,62.176689,8
*,5,0.0,28
PAUL,5,93.21093,7
OSKAR,5,92.538147,8
KRISTELLER,5,68.297585,7
,4,-1.0,11
JOHN,5,75.654663,10
HERMAN,5,95.459991,7
"RANDALL,",5,69.054779,8
J.,5,69.054779,10
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
¥,5,48.659393,49
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Phoenix,5,96.303024,12
Books,5,92.029701,12
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
THE,5,45.551674,6
UNIVERSITY,5,91.099228,6
OF,5,96.780006,6
CHICAGO,5,96.589554,6
PRESS.,5,88.925758,7
