text,level,conf,height
,1,-1.0,681
,2,-1.0,514
,3,-1.0,514
,4,-1.0,514
 ,5,95.0,514
,2,-1.0,606
,3,-1.0,606
,4,-1.0,382
ts,5,43.427094,6
ry,5,72.87413,11
,4,-1.0,516
at,5,23.357315,13
"i,",5,36.398338,13
het,5,23.183098,5
ae,5,49.031391,2
Mr,5,30.296356,7
9k,5,21.646957,21
*,5,0.0,16
S,5,0.0,2
,4,-1.0,418
ple,5,45.914574,34
ie,5,16.94754,27
bp,5,44.81266,17
De,5,33.189957,11
tot,5,33.805466,35
,4,-1.0,517
t,5,0.0,10
;,5,54.334621,1
;,5,66.71801,2
<i,5,25.713165,12
,4,-1.0,606
Petey?,5,24.240463,66
a,5,30.69223,2
=,5,52.341019,7
hg,5,31.303596,6
Ea,5,33.770798,10
Ahh,5,0.0,39
me,5,24.454926,38
id,5,32.243332,29
‘,5,4.661636,3
,4,-1.0,201
",",5,0.0,3
\,5,54.313889,1
,4,-1.0,2
},5,81.872101,2
,4,-1.0,573
a,5,10.970779,34
",",5,36.47393,2
",",5,0.0,1
‘,5,0.0,2
idm,5,36.517738,33
ti,5,38.53299,19
5,5,0.699692,1
?,5,22.178505,1
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,652
,3,-1.0,669
,4,-1.0,652
ELAS,5,15.493889,652
