text,level,conf,height
,1,-1.0,720
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
THIRD,5,96.784042,13
EDITION,5,96.799004,15
,2,-1.0,320
,3,-1.0,320
,4,-1.0,320
  ,5,95.0,320
 ,5,95.0,109
,2,-1.0,155
,3,-1.0,155
,4,-1.0,41
|,5,36.273949,2
SSN,5,0.0,34
ANA,5,0.0,19
X,5,16.475082,8
,4,-1.0,44
Antenna,5,96.30661,47
Theory,5,96.108803,44
,4,-1.0,46
and,5,96.503365,25
Design,5,96.391556,46
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Warren,5,93.161789,15
L.,5,92.01123,15
Stutzman,5,92.811249,16
Gary,5,94.749458,19
A.,5,94.749458,15
Thiele,5,96.334633,15
,2,-1.0,292
,3,-1.0,292
,4,-1.0,292
 ,5,95.0,292
