text,level,conf,height
,1,-1.0,666
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
RAJESH,5,88.719963,10
JFUCGCULUM,5,25.768066,28
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
COMPETING,5,96.155746,21
WITH,5,62.596287,17
,2,-1.0,45
,3,-1.0,45
,4,-1.0,45
HIGH,5,94.978035,40
QUALITY,5,95.808647,44
,2,-1.0,80
,3,-1.0,80
,4,-1.0,80
DATA,5,96.894524,80
,2,-1.0,137
,3,-1.0,137
,4,-1.0,137
   ,5,95.0,137
,2,-1.0,55
,3,-1.0,55
,4,-1.0,9
},5,16.432602,9
,4,-1.0,7
y,5,44.115147,2
\_},5,46.049767,7
,4,-1.0,35
con,5,1.144119,9
"€PI5/TO0LS,",5,0.0,35
AND,5,71.366501,9
TECHNIQUES,5,95.369736,10
FOR,5,96.609238,9
BUILDING’,5,72.203636,18
,4,-1.0,17
-,5,0.0,3
SUCCESSFUL,5,95.017685,9
APPROACH,5,96.268517,9
TO,5,96.763306,9
DATA,5,78.714722,9
QUALITY,5,96.457138,10
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
 ,5,95.0,24
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
WILEY,5,96.53598,18
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
 ,5,95.0,666
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
 ,5,95.0,666
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
