text,level,conf,height
,1,-1.0,667
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
Principles,5,96.373436,38
of,5,96.373436,31
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
COMMUNICATIONS,5,95.600136,38
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
"Systems,",5,96.297653,26
"Modulation,",5,96.518906,22
and,5,96.538246,21
Noise,5,96.854607,21
,2,-1.0,266
,3,-1.0,266
,4,-1.0,266
 ,5,95.0,266
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
RODGER,5,83.798714,14
E.ZIEMER,5,83.798714,14
+,5,65.223389,4
WILLIAM,5,89.206696,14
H.TRANTER,5,91.010582,14
,2,-1.0,186
,3,-1.0,186
,4,-1.0,186
2-7,5,0.0,186
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
WILEY,5,96.50589,17
