text,level,conf,height
,1,-1.0,666
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,331
,3,-1.0,331
,4,-1.0,331
 ,5,95.0,331
,2,-1.0,247
,3,-1.0,247
,4,-1.0,42
Service,5,96.426407,42
,4,-1.0,50
Quality,5,76.199333,50
of,5,91.271309,59
,4,-1.0,41
Cloud-Based,5,91.772766,41
,4,-1.0,51
Applications,5,95.938049,51
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
Eric,5,92.794205,26
Bauer,5,56.85614,26
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
Randee,5,92.002556,28
Adams,5,96.087242,27
,2,-1.0,331
,3,-1.0,331
,4,-1.0,331
 ,5,95.0,331
