text,level,conf,height
,1,-1.0,666
,2,-1.0,646
,3,-1.0,646
,4,-1.0,69
 ,5,95.0,69
,4,-1.0,121
  ,5,95.0,121
,4,-1.0,82
  ,5,95.0,82
,4,-1.0,129
    ,5,95.0,129
,4,-1.0,245
  ,5,95.0,245
,2,-1.0,140
,3,-1.0,140
,4,-1.0,36
SOFTWARE,5,96.594627,36
WA,5,66.272552,18
,4,-1.0,49
EVOLUTION,5,68.300346,36
AND),5,52.59803,48
,4,-1.0,43
MAINTENANCE,5,9.44091,36
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
A,5,84.563965,17
PRACTITIONER'S,5,75.785957,18
APPROACH,5,96.951851,18
,2,-1.0,39
,3,-1.0,39
,4,-1.0,15
PRIYADARSHI,5,92.153976,15
TRIPATHY,5,92.153976,15
,4,-1.0,15
KSHIRASAGAR,5,91.130478,15
NAIK,5,96.895447,15
,2,-1.0,72
,3,-1.0,72
,4,-1.0,72
  ,5,95.0,72
