text,level,conf,height
,1,-1.0,664
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
GIS,5,96.609573,11
AND,5,96.397202,11
TERRITORIAL,5,96.473351,11
INTELLIGENCE,5,95.971306,11
,2,-1.0,228
,3,-1.0,228
,4,-1.0,228
 ,5,95.0,228
,2,-1.0,78
,3,-1.0,78
,4,-1.0,32
Spatial,5,96.470078,32
Econometrics,5,95.895485,26
,4,-1.0,32
Using,5,96.720627,32
Microdata,5,96.430679,26
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Jean,5,96.86203,16
Dubé,5,96.689499,16
and,5,92.086617,16
Diégo,5,92.086617,21
Legros,5,96.45269,21
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
sc,5,73.860741,37
WILEY,5,96.399033,23
