text,level,conf,height
,1,-1.0,612
,2,-1.0,36
,3,-1.0,36
,4,-1.0,17
Additional,5,87.302094,13
Praise,5,96.818626,13
for,5,96.539116,13
Taming,5,96.807098,17
,4,-1.0,17
the,5,96.867828,13
Money,5,96.965088,16
Sharks,5,96.967796,13
,2,-1.0,247
,3,-1.0,11
,4,-1.0,11
“For,5,74.899292,8
those,5,90.459381,8
investors,5,90.459381,5
who,5,95.775589,8
want,5,95.775589,6
to,5,95.328629,6
profit,5,84.540436,11
from,5,90.495819,8
the,5,92.696602,8
,3,-1.0,12
,4,-1.0,12
investment,5,87.658264,6
markets,5,74.938782,8
like,5,95.882286,8
"professionals,",5,85.286476,12
this,5,79.972916,8
book,5,90.797974,8
is,5,79.116013,5
,3,-1.0,11
,4,-1.0,11
the,5,94.761932,8
key,5,94.761932,11
to,5,73.67244,6
success,5,70.465691,5
in,5,70.465691,5
eight,5,89.495308,11
simple,5,96.57563,11
steps.,5,91.463837,9
You,5,95.696503,8
will,5,86.78392,8
,3,-1.0,12
,4,-1.0,12
find,5,92.660309,8
Professor,5,92.346611,9
Cheng’,5,77.612297,11
investment,5,88.178406,6
language,5,91.165344,11
in,5,91.165344,5
,3,-1.0,11
,4,-1.0,11
syne,5,95.472511,8
with,5,95.957176,8
our,5,96.372963,5
daily,5,93.119652,11
lives—complex,5,78.725136,11
theories,5,94.685165,8
are,5,93.203796,5
,3,-1.0,11
,4,-1.0,11
replaced,5,94.076546,11
with,5,92.927269,8
reablife,5,72.280548,8
examples,5,95.237785,11
and,5,94.782959,8
interactive,5,90.952225,6
,3,-1.0,11
,4,-1.0,11
illustrations,5,44.585686,8
pinpoint,5,91.464249,9
the,5,96.659508,8
fundamental,5,55.901787,8
knowledge,5,91.341331,11
,3,-1.0,25
,4,-1.0,11
‘we,5,22.208992,5
all,5,88.745514,8
need,5,87.134834,8
to,5,90.14695,5
know,5,94.011429,8
to,5,79.256508,5
accumulate,5,92.748375,8
and,5,92.748375,8
protect,5,93.377762,9
,4,-1.0,8
‘our,5,82.23851,28
wealth.”,5,47.745358,2
,3,-1.0,11
,4,-1.0,11
Patrice,5,19.899994,8
K.S.,5,65.794754,8
"Wing,",5,73.989426,11
Former,5,86.008034,8
General,5,76.389336,8
,3,-1.0,11
,4,-1.0,11
Manager,5,51.592369,11
Jardine,5,72.717484,11
Fleming,5,71.607628,11
Tas,5,54.905525,8
,3,-1.0,11
,4,-1.0,11
Investment,5,48.350258,8
Management,5,73.757446,11
Led,5,83.593506,8
,3,-1.0,11
,4,-1.0,11
Investment,5,81.992218,8
"Dinetor,",5,71.203636,8
Jardine,5,70.953262,10
Fleming,5,94.592064,11
,3,-1.0,10
,4,-1.0,10
Unie,5,71.271782,8
Trusts,5,56.115932,8
Led,5,91.770302,8
Hong,5,77.051369,10
Kong;,5,53.656868,10
"Presiden,",5,37.634167,8
,3,-1.0,9
,4,-1.0,9
Polaris,5,62.408409,8
Investment,5,46.049023,8
"Tus,",5,45.286415,9
Taiwan,5,48.231972,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
“Mr.,5,41.703228,8
Cheng,5,96.619286,11
has,5,92.434914,8
written,5,94.228142,6
a,5,85.228775,5
highly,5,85.228775,8
readable,5,90.372543,8
guide,5,92.826637,11
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
 ,5,95.0,11
,2,-1.0,45
,3,-1.0,45
,4,-1.0,8
for,5,94.749168,8
individual,5,52.652855,8
stock,5,91.70446,8
market,5,91.70446,8
investors,5,89.763008,5
who,5,69.535797,8
wish,5,69.535797,8
,4,-1.0,11
to,5,93.779366,6
develop,5,87.94973,11
an,5,87.94973,5
organized,5,85.449532,11
approach,5,95.739517,11
to,5,96.373589,6
creating,5,84.444092,9
and.,5,63.078773,8
,4,-1.0,12
managing,5,3.253342,8
their,5,95.391533,8
portfolios.,5,73.978081,11
He,5,94.856552,8
uses,5,95.981667,5
real-life,5,71.622467,9
exam-,5,79.315506,5
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
ples,5,93.550583,11
to,5,68.989708,6
effectively,5,68.989708,12
illustrate,5,79.853241,8
i,5,82.368591,5
alls,5,49.569923,8
and,5,64.039024,8
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,60
,3,-1.0,60
,4,-1.0,9
vesting.,5,64.387207,9
pi,5,66.220093,8
,4,-1.0,11
"principles,",5,85.583733,11
while,5,93.152512,8
presenting,5,93.152512,9
tools,5,85.602669,8
and,5,85.602669,8
techniques,5,85.568649,11
,4,-1.0,11
that,5,94.289406,8
are,5,85.425903,5
valuable,5,85.425903,8
to,5,81.503639,5
the,5,83.79673,8
discipline,5,87.308891,11
needed,5,92.352623,8
for,5,92.959282,8
,4,-1.0,11
success,5,65.235504,5
in,5,65.235504,5
this,5,88.589951,8
activity.,5,77.174179,9
Rooted,5,91.675262,8
in,5,95.739769,28
common,5,94.762398,5
sense,5,95.286896,5
