text,level,conf,height
,1,-1.0,666
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Wiley,5,94.096161,14
Series,5,96.821953,11
on,5,96.981522,8
Parallel,5,91.16172,11
and,5,96.612991,11
Distributed,5,96.866417,11
Computing,5,96.654839,14
,2,-1.0,82
,3,-1.0,82
,4,-1.0,82
 ,5,95.0,82
,2,-1.0,147
,3,-1.0,147
,4,-1.0,17
VERIFICATION,5,94.383163,17
OF,5,94.383163,17
,4,-1.0,33
Communication,5,96.189629,33
,4,-1.0,35
Protocols,5,96.296478,35
,4,-1.0,36
in,5,96.417686,32
Web,5,95.782944,36
Services,5,95.782944,33
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Model-Checking,5,92.875984,19
,2,-1.0,79
,3,-1.0,79
,4,-1.0,79
a,5,10.460861,79
Service,5,96.594193,14
Compositions,5,95.462639,19
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
~,5,81.499039,13
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
 ,5,95.0,14
,2,-1.0,51
,3,-1.0,51
,4,-1.0,51
 ,5,95.0,51
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Zahir,5,95.967361,15
Tari,5,92.167931,14
+,5,90.298981,5
Peter,5,93.291733,14
Bertok,5,91.98159,15
»,5,31.874763,5
Anshuman,5,92.699097,15
Mukherjee,5,96.209724,19
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
PIEEE,5,30.046616,19
"O°""",5,9.584816,16
2%,5,9.584816,17
WILEY,5,96.288185,17
