text,level,conf,height
,1,-1.0,666
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,335
,3,-1.0,335
,4,-1.0,335
 ,5,95.0,335
,2,-1.0,150
,3,-1.0,150
,4,-1.0,45
Android,5,96.619537,35
Application,5,96.703552,45
,4,-1.0,45
Development,5,96.596703,45
Cookbook,5,96.251442,35
,4,-1.0,25
93,5,96.122383,17
Recipes,5,96.122383,33
for,5,96.106163,25
Building,5,96.945457,25
Winning,5,96.884369,25
Apps,5,96.914078,25
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
 ,5,95.0,666
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Wei-Meng,5,92.055801,21
Lee,5,96.875351,16
