text,level,conf,height
,1,-1.0,667
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,364
,3,-1.0,364
,4,-1.0,364
 ,5,95.0,364
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
Professional,5,96.254265,33
,2,-1.0,189
,3,-1.0,136
,4,-1.0,61
C#,5,92.292709,61
2012,5,95.189308,56
,4,-1.0,116
and,5,96.976288,114
NET,5,2.849274,61
4.,5,91.986526,108
5,5,69.93454,107
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
"Nagel,",5,96.866684,30
Bill,5,93.021507,12
"Evjen,",5,91.959824,15
Jay,5,96.619698,15
"Glynn,",5,96.560127,16
Karli,5,96.788933,12
"Watson,",5,96.9496,30
Morgan,5,93.305756,15
Skinn,5,90.629341,12
