text,level,conf,height
,1,-1.0,684
,2,-1.0,37
,3,-1.0,37
,4,-1.0,17
Algorithms,5,95.132217,16
for,5,96.867393,13
Intelligent,5,95.610703,16
Systems,5,86.777328,16
,4,-1.0,16
Series,5,49.54731,12
Editors:,5,49.54731,12
Jagdish,5,54.19503,16
Chand,5,95.315407,12
Bansal,5,61.122524,12
 Kusum,5,58.376991,12
Deep,5,91.169876,15
-Atulya,5,60.543346,16
K.,5,89.066422,12
"Nagar,",5,66.396484,16
,2,-1.0,75
,3,-1.0,75
,4,-1.0,19
K.,5,60.361885,19
G.,5,60.361885,19
Srinivasa,5,96.665443,19
,4,-1.0,19
G.,5,35.709877,19
M.,5,35.709877,19
Siddesh,5,90.269104,19
,4,-1.0,19
S.R.,5,82.502899,19
Manisekhar,5,91.07338,19
Editors,5,95.492332,19
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,183
,3,-1.0,45
,4,-1.0,45
Statistical,5,96.835709,35
Modelling,5,95.304512,45
,3,-1.0,134
,4,-1.0,45
and,5,96.731171,35
Machine,5,96.962639,35
Learning,5,96.717339,44
,4,-1.0,46
Principles,5,94.106277,45
for,5,94.106277,36
,4,-1.0,37
Bioinformatics,5,91.099358,37
,2,-1.0,354
,3,-1.0,354
,4,-1.0,354
   ,5,95.0,354
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
",",5,0.0,26
Wa,5,23.017746,22
