text,level,conf,height
,1,-1.0,684
,2,-1.0,430
,3,-1.0,430
,4,-1.0,260
  ,5,95.0,260
 ,5,95.0,50
,4,-1.0,170
  ,5,95.0,170
,2,-1.0,177
,3,-1.0,177
,4,-1.0,130
Son,5,7.274544,39
Cane,5,48.462234,115
Fitting,5,85.493042,58
,4,-1.0,50
to,5,96.945854,34
Machine,5,96.549156,40
Learning,5,96.94117,49
,2,-1.0,54
,3,-1.0,54
,4,-1.0,20
An,5,96.445366,19
Illustrative,5,66.175003,20
Guide,5,94.824532,20
to,5,96.580231,17
Scientific,5,95.011398,20
Data,5,94.027733,19
,4,-1.0,26
Analysis,5,96.644325,26
and,5,96.982925,20
Computational,5,96.920792,26
Intelligence,5,96.736755,26
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Second,5,96.849701,21
Edition,5,96.732643,21
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,79.563004,29
Springer,5,96.561333,31
,2,-1.0,471
,3,-1.0,471
,4,-1.0,471
 ,5,95.0,471
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
