text,level,conf,height
,1,-1.0,648
,2,-1.0,386
,3,-1.0,386
,4,-1.0,386
 ,5,95.0,386
,2,-1.0,75
,3,-1.0,75
,4,-1.0,75
 ,5,95.0,75
,2,-1.0,198
,3,-1.0,198
,4,-1.0,198
 ,5,95.0,198
,2,-1.0,151
,3,-1.0,151
,4,-1.0,27
Genetic,5,96.381271,27
,4,-1.0,33
Nature/,5,91.501816,33
,4,-1.0,29
Culture,5,96.285339,29
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
ALAN,5,96.844673,8
GOODMAN,5,96.40329,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
DEBORAH,5,96.242508,8
HEATH,5,95.667618,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
M.,5,89.305641,8
SUSAN,5,92.987366,8
LINDEE,5,92.365746,8
,2,-1.0,242
,3,-1.0,242
,4,-1.0,242
 ,5,95.0,242
