text,level,conf,height
,1,-1.0,792
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Instructors,5,62.469391,8
Preface,5,70.999306,8
vil,5,68.652069,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Student's,5,44.823402,8
Preface,5,47.939571,8
xi,5,47.939571,6
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Dependence,5,93.766624,11
Chart,5,65.170425,8
xiii,5,64.218948,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Sets,5,39.56881,8
and,5,39.56881,8
Relations,5,53.87059,8
1,5,53.87059,8
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
—,5,24.425995,20
,2,-1.0,114
,3,-1.0,31
,4,-1.0,10
Groups,5,66.869225,10
AND,5,96.95433,8
SUBGROUPS,5,93.606766,10
,4,-1.0,11
Inwroduetion,5,19.366302,11
and,5,96.789124,28
Examples,5,30.310448,11
11,5,30.310448,8
,3,-1.0,38
,4,-1.0,11
Binary,5,95.951698,28
Operations,5,80.460297,28
20,5,64.791145,8
,4,-1.0,11
Isomorphie,5,0.0,11
Binary,5,79.340797,28
Structures,5,71.230148,11
28,5,71.230148,8
,4,-1.0,10
Groups,5,66.758278,10
36,5,66.758278,8
,3,-1.0,11
,4,-1.0,11
Subgroups,5,88.926025,11
49,5,72.211731,8
,3,-1.0,11
,4,-1.0,11
Cyclic,5,52.862988,11
Groups,5,51.321793,11
59,5,51.321793,8
,3,-1.0,11
,4,-1.0,11
Generating,5,69.590973,11
Sets,5,96.192276,8
and,5,96.192276,8
Cayley,5,93.266319,11
Digraphs,5,84.99324,11
68,5,80.345238,8
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
“iT,5,27.896744,20
,2,-1.0,82
,3,-1.0,29
,4,-1.0,12
"PERMUTATIONS,",5,93.305824,12
"CosEts,",5,63.507408,12
AND,5,96.493721,8
Direct,5,29.8685,10
PRoDUucTS,5,52.68956,10
,4,-1.0,10
Groups,5,96.066803,10
of,5,96.974182,28
Permutations,5,50.775791,8
"75,",5,50.775791,8
,3,-1.0,11
,4,-1.0,11
"Orbits,",5,55.378319,9
"Cycles,",5,69.725609,11
and,5,92.72554,8
the,5,92.72554,8
Alternating,5,38.677322,11
Groups,5,70.68409,11
87,5,63.797955,8
,3,-1.0,11
,4,-1.0,11
CCosets,5,74.877762,8
and,5,95.500816,8
the,5,96.508278,8
Theorem,5,82.903748,8
of,5,96.701569,8
Lagrange,5,43.704777,11
96,5,58.164371,8
,3,-1.0,21
,4,-1.0,11
Direct,5,93.297821,8
Produets,5,87.013351,8
and,5,89.787613,8
Finitely,5,75.468307,11
Generated,5,96.291672,8
Abelian,5,96.291672,8
Groups,5,59.966156,11
104,5,59.966156,8
,4,-1.0,8
Plane,5,91.685898,8
ometries,5,57.017448,8
114,5,51.69194,8
,2,-1.0,104
,3,-1.0,104
,4,-1.0,104
 ,5,95.0,104
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
a,5,30.846855,9
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
8,5,36.319241,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
i,5,45.333984,8
