text,level,conf,height
,1,-1.0,1604
,2,-1.0,76
,3,-1.0,76
,4,-1.0,76
AGE,5,61.731819,71
<,5,26.769653,40
OF,5,96.402618,33
‘SIGMAR,5,44.994167,76
,2,-1.0,458
,3,-1.0,458
,4,-1.0,195
CALL,5,96.628479,193
OF,5,96.896614,195
,4,-1.0,236
CHAOS,5,96.05426,236
,2,-1.0,96
,3,-1.0,96
,4,-1.0,96
GODLESS,5,91.528168,96
,2,-1.0,45
,3,-1.0,45
,4,-1.0,45
by,5,96.155739,45
DAVID,5,92.330727,31
GUYMER,5,92.068123,33
,2,-1.0,206
,3,-1.0,206
,4,-1.0,206
i,5,51.80175,112
Way,5,37.53883,206
RHAMMERY,5,66.195572,139
,2,-1.0,218
,3,-1.0,218
,4,-1.0,218
 ,5,95.0,218
,2,-1.0,250
,3,-1.0,250
,4,-1.0,250
 ,5,95.0,250
