text,level,conf,height
,1,-1.0,637
,2,-1.0,42
,3,-1.0,42
,4,-1.0,41
EARI,5,77.273781,34
Ria,5,29.877991,33
CODDINGTON,5,69.005814,18
=,5,18.017616,3
,4,-1.0,16
NORMAN,5,96.674248,26
LEVINSON,5,96.674248,15
,2,-1.0,325
,3,-1.0,325
,4,-1.0,325
 ,5,95.0,325
,2,-1.0,103
,3,-1.0,103
,4,-1.0,103
Tew?,5,56.166634,103
,2,-1.0,220
,3,-1.0,195
,4,-1.0,94
rdinary,5,90.653442,94
,4,-1.0,62
Differential,5,14.854645,62
,4,-1.0,87
:,5,15.099152,13
quations,5,91.53714,87
:,5,32.047455,11
,2,-1.0,637
,3,-1.0,637
,4,-1.0,637
 ,5,95.0,637
,2,-1.0,568
,3,-1.0,568
,4,-1.0,568
 ,5,95.0,568
,2,-1.0,444
,3,-1.0,444
,4,-1.0,444
 ,5,95.0,444
,2,-1.0,436
,3,-1.0,436
,4,-1.0,436
 ,5,95.0,436
,2,-1.0,436
,3,-1.0,436
,4,-1.0,436
 ,5,95.0,436
,2,-1.0,436
,3,-1.0,436
,4,-1.0,436
 ,5,95.0,436
,2,-1.0,453
,3,-1.0,453
,4,-1.0,453
 ,5,95.0,453
