text,level,conf,height
,1,-1.0,658
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,135
,3,-1.0,135
,4,-1.0,135
 ,5,95.0,135
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
STUDY,5,96.386772,27
GUIDE,5,96.386772,27
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,52
,3,-1.0,52
,4,-1.0,20
LINEAR,5,96.210785,20
ALGEBRA,5,96.071304,20
,4,-1.0,20
AND,5,96.268021,15
ITs,5,74.599068,20
APPLICATIONS,5,95.9758,20
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
THIRD,5,79.390556,12
EpiTion,5,34.623039,12
UppatE,5,38.232681,12
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
David,5,93.287254,18
C.,5,91.37384,18
Lay,5,96.582268,23
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
University,5,96.745773,9
of,5,96.94735,11
Maryland,5,93.281418,9
~,5,49.028572,28
College,5,93.64949,11
Park,5,94.271744,9
,2,-1.0,127
,3,-1.0,127
,4,-1.0,127
 ,5,95.0,127
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
 ,5,95.0,13
,2,-1.0,135
,3,-1.0,135
,4,-1.0,135
 ,5,95.0,135
