text,level,conf,height
,1,-1.0,800
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
210,5,27.035583,8
HISTORY,5,40.871471,8
OF,5,96.799606,9
THE,5,93.109367,9
ROSICRUCIANS.,5,89.359108,9
,2,-1.0,419
,3,-1.0,236
,4,-1.0,14
and,5,94.789528,10
which,5,93.213318,11
Kenealy,5,91.296432,14
himself,5,96.230301,11
would,5,96.616867,11
disown.,5,88.332039,11
Doubtless,5,77.775681,11
these,5,96.449242,11
,4,-1.0,16
things,5,91.114616,14
are,5,95.63443,7
connected,5,86.07531,10
in,5,96.722404,10
the,5,96.723404,10
mind,5,96.872566,11
of,5,96.89576,10
Mr,5,96.77327,10
Hargrave,5,96.333176,14
Jennings,5,93.717155,14
,4,-1.0,15
with,5,96.225861,11
his,5,96.659195,11
mysterious,5,92.113144,14
and,5,92.113144,11
ubiquitous,5,92.470528,14
"Brotherhood,",5,93.898407,13
for,5,89.617813,10
his,5,86.415985,11
,4,-1.0,15
diseased,5,94.047478,11
imagination,5,94.047478,14
perceives,5,56.758423,14
Rosierucianism,5,77.811203,10
"everywhere,",5,93.345001,14
,4,-1.0,15
“as,5,62.23671,10
those,5,96.058975,11
who,5,96.058975,11
believe,5,95.799095,11
in,5,96.349266,10
witchcraft,5,65.313454,11
see,5,82.893547,7
sorcery,5,84.777878,10
and,5,92.711426,10
en-,5,92.114464,6
,4,-1.0,15
chantment,5,92.513794,11
everywhere.”,5,91.670998,14
This,5,85.127823,11
"connection,",5,90.517937,13
"however,",5,93.442497,12
he,5,96.96212,10
,4,-1.0,15
nowhere,5,92.06295,11
attempts,5,80.060043,12
to,5,96.83046,9
"establish,",5,95.770935,13
and,5,95.679344,10
it,5,95.558281,11
is,5,96.315041,11
incredible,5,87.453033,11
to,5,91.947708,10
sup-,5,91.014496,10
,4,-1.0,15
pose,5,93.193008,10
that,5,95.568138,10
the,5,95.568138,11
shallow,5,93.197128,11
pretonce,5,90.689529,12
has,5,92.39534,11
ever,5,96.978065,7
imposed,5,96.840752,14
on,5,96.853355,7
anyone.,5,78.01815,10
,4,-1.0,15
‘The,5,72.32782,10
few,5,96.85936,11
statements,5,96.357552,10
which,5,96.509758,11
he,5,96.509758,10
makes,5,96.901657,11
concerning,5,96.386688,14
the,5,93.199265,11
Fra-,5,89.951736,11
,4,-1.0,15
ternity,5,89.325417,13
must,5,96.71756,9
be,5,96.920441,11
rejected,5,96.812363,14
as,5,96.706161,7
worthless,5,93.291512,11
;,5,93.261276,9
for,5,96.900177,10
"example,",5,96.512444,14
he,5,96.821739,10
tells,5,96.663033,10
,4,-1.0,14
us,5,95.16819,7
that,5,95.16819,11
the,5,96.964523,11
alchemists,5,96.069702,11
were,5,96.061203,7
a,5,96.061203,6
physical,5,96.516479,13
branch,5,96.937599,11
of,5,96.998039,10
the,5,92.034607,11
Rosi-,5,87.5504,11
,4,-1.0,16
"‘rucians,",5,72.33989,14
whereas,5,95.686493,11
the,5,93.305084,10
Rosicrucians,5,87.76799,11
were,5,96.967041,7
a,5,92.956856,6
theosophical,5,91.275284,14
sect,5,89.011475,10
,4,-1.0,14
amoig,5,88.025986,11
the,5,96.92469,10
alchemists.,5,76.837769,11
,3,-1.0,179
,4,-1.0,16
T,5,83.176956,10
have,5,83.176956,11
deemed,5,93.319862,11
it,5,96.952759,10
unnecessary,5,94.656548,11
to,5,94.07782,9
consider,5,93.906334,11
the,5,93.134026,10
alleged,5,93.134026,14
,4,-1.0,14
connection,5,87.14003,10
between,5,95.055222,10
the,5,96.483032,11
Templars,5,85.586433,14
and,5,91.490906,11
the,5,94.809944,11
Brethren,5,85.266899,11
of,5,96.01223,10
the,5,96.01223,10
,4,-1.0,15
"Rose-Cross,",5,75.445229,13
for,5,97.007652,10
this,5,95.28756,11
hypothesis,5,95.28756,15
depends,5,88.062973,14
upon,5,88.062973,10
"another,",5,96.819229,13
now,5,96.906685,7
,4,-1.0,15
generally,5,95.033707,14
set,5,93.019394,10
"aside,",5,38.743393,14
"namely,",5,94.589523,14
the,5,79.948166,11
connection,5,93.896164,11
of,5,96.966606,11
the,5,90.041756,11
Free-,5,90.041756,10
,4,-1.0,16
masons,5,94.075577,8
with,5,96.480881,11
the,5,96.906799,11
foregoing,5,96.230568,14
orders.,5,93.378372,11
It,5,79.371468,10
is,5,96.787621,10
sufficient,5,22.267502,11
to,5,96.413765,10
say,5,96.413765,10
,4,-1.0,16
that,5,96.864571,11
the,5,76.178467,11
Templars,5,95.028618,13
were,5,92.707886,8
not,5,92.707886,9
"alchemists,",5,96.361931,13
that,5,96.264122,11
they,5,96.676521,13
had,5,96.15892,10
no,5,94.912552,6
,4,-1.0,15
scientific,5,79.439331,11
"pretensions,",5,88.765877,13
and,5,88.765877,11
that,5,96.949074,11
their,5,96.615273,11
"secret,",5,85.236313,12
so,5,95.25351,7
far,5,95.25351,10
as,5,93.834183,6
can,5,95.250244,7
be,5,89.531136,10
,4,-1.0,15
"ascertained,",5,93.045471,13
was,5,96.899689,7
a,5,87.186806,7
religious,5,87.186806,15
secret,5,83.749313,9
of,5,96.791061,10
an,5,95.251328,7
anti-Christian,5,93.805733,11
"kind,",5,86.796097,11
,4,-1.0,17
‘The,5,90.340668,11
"Rosicrucians,",5,83.447044,14
on,5,94.739876,7
the,5,96.966972,11
other,5,94.221207,11
"hand,",5,93.560944,13
were,5,92.181595,7
pre-eminently,5,92.181595,14
a,5,92.941444,7
,4,-1.0,14
learned,5,69.099617,11
"society,",5,93.094391,14
and,5,96.973236,11
they,5,96.965446,14
were,5,96.930779,7
