text,level,conf,height
,1,-1.0,612
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
2nd,5,95.309738,12
Edition,5,95.309738,12
,2,-1.0,178
,3,-1.0,178
,4,-1.0,178
 ,5,95.0,178
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
A.,5,92.933632,17
W.,5,92.933632,17
Moore,5,96.487518,17
,2,-1.0,48
,3,-1.0,48
,4,-1.0,48
The,5,96.722717,48
Infinite,5,96.424843,48
,2,-1.0,36
,3,-1.0,36
,4,-1.0,19
Also,5,95.852394,15
available,5,95.852394,15
as,5,96.726936,11
a,5,96.490273,11
printed,5,96.239372,19
book,5,96.239372,15
,4,-1.0,13
see,5,94.772896,10
title,5,96.177414,13
verso,5,95.563889,10
for,5,95.563889,13
ISBN,5,96.679466,13
details,5,96.242584,13
