text,level,conf,height
,1,-1.0,842
,2,-1.0,72
,3,-1.0,72
,4,-1.0,17
A,5,96.648521,16
collection,5,95.985641,17
of,5,97.012825,17
,4,-1.0,17
alchemical,5,95.981567,17
and,5,96.994316,17
hermetic,5,96.878609,17
emblems,5,96.482239,17
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
coloured,5,96.093544,17
by,5,96.093544,22
Adam,5,95.491478,17
McLean,5,96.837372,16
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
Gallery,5,96.748474,22
of,5,96.989113,17
emblem,5,96.262245,17
sequences,5,96.836327,16
2,5,95.837791,16
,2,-1.0,217
,3,-1.0,15
,4,-1.0,15
These,5,91.029358,11
images,5,89.929977,11
are,5,89.929977,7
copyright,5,96.465202,15
©,5,96.728546,9
Adam,5,96.685066,11
McLean,5,61.656357,11
1999,5,83.6437,11
,3,-1.0,199
,4,-1.0,15
The,5,92.341095,11
images,5,96.820435,11
on,5,96.653244,7
this,5,96.653244,11
CD-Rom,5,96.970512,11
are,5,96.843582,7
for,5,92.969963,11
use,5,96.063812,7
only,5,96.063812,14
for,5,96.304306,11
private,5,96.966713,13
,4,-1.0,15
study,5,96.195877,15
and,5,95.828766,11
must,5,95.232117,9
not,5,95.232117,9
be,5,95.60836,11
used,5,96.121422,11
in,5,94.196739,7
any,5,94.196739,11
"publication,",5,96.211143,15
or,5,96.182373,7
,4,-1.0,13
distributed,5,94.585892,11
in,5,96.823547,7
electronic,5,95.653976,11
form,5,96.725632,11
on,5,96.42614,7
web,5,96.42614,11
sites,5,96.464233,9
or,5,96.53624,7
other,5,96.966072,11
"media,",5,96.708061,13
,4,-1.0,15
without,5,94.416748,11
permission,5,94.416748,11
from,5,92.801193,11
the,5,92.801193,11
copyright,5,95.203255,15
holder,5,85.779594,11
Adam,5,85.779594,11
,4,-1.0,15
McLean,5,93.25695,11
<alchemy@dial.pipex.com>.,5,26.310715,15
This,5,90.958603,11
applies,5,88.39859,15
both,5,96.875603,11
to,5,96.914574,9
,4,-1.0,15
entire,5,95.001198,9
images,5,96.28508,11
or,5,96.821487,7
parts,5,96.65049,13
of,5,96.65049,11
images.,5,96.53804,11
This,5,96.940781,11
file,5,96.874344,11
has,5,96.918594,11
been,5,86.774521,11
set,5,96.743462,9
up,5,96.916336,11
,4,-1.0,15
so,5,96.500732,7
that,5,96.762543,11
both,5,96.75779,11
printing,5,96.732216,13
and,5,95.915955,11
the,5,96.82489,11
cutting,5,94.982811,13
and,5,94.982811,11
pasting,5,96.513626,13
of,5,96.513626,11
the,5,95.772255,11
,4,-1.0,15
images,5,95.598984,11
is,5,96.61068,7
disabled.,5,92.722664,11
The,5,96.689148,11
images,5,96.655945,11
are,5,96.722458,7
distributed,5,96.722458,11
in,5,96.008957,7
this,5,96.008957,11
form,5,94.218079,11
,4,-1.0,15
for,5,96.754677,11
study,5,87.465866,15
and,5,87.465866,11
contemplation,5,96.613503,15
on,5,95.682884,7
a,5,95.682884,7
computer,5,96.091171,13
screen.,5,85.122787,7
If,5,93.336372,11
you,5,93.336372,10
,4,-1.0,15
require,5,96.775337,11
high,5,96.75856,15
quality,5,96.825333,15
colour,5,96.825333,11
prints,5,90.911118,11
of,5,90.911118,11
some,5,96.880219,7
of,5,96.880219,31
these,5,96.730461,11
images,5,96.730461,11
,4,-1.0,15
then,5,96.835014,11
see,5,86.913948,7
the,5,96.60289,11
details,5,96.581856,11
of,5,96.191978,11
how,5,96.374405,11
to,5,96.942787,9
purchase,5,96.942787,15
at:,5,94.985191,9
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
http://www.alchemy.dial.pipex.com,5,71.293663,15
