text,level,conf,height
,1,-1.0,792
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
ESOTERIC,5,96.737045,11
ASTROLOGY,5,93.881813,11
,2,-1.0,27
,3,-1.0,27
,4,-1.0,10
A,5,87.954971,10
TREATISE,5,87.954971,10
ON,5,96.868958,10
THE,5,96.868958,10
SEVEN,5,96.904953,10
RAYS,5,96.904953,10
,4,-1.0,10
VOLUME,5,94.041206,10
II,5,48.797569,10
,2,-1.0,23
,3,-1.0,23
,4,-1.0,8
BY,5,92.981392,8
,4,-1.0,8
ALICE,5,93.250511,8
A.,5,89.959076,28
BAILEY,5,96.054909,8
,2,-1.0,23
,3,-1.0,23
,4,-1.0,8
COPYRIGHT,5,69.830612,8
©,5,96.521843,8
1951,5,90.396652,8
BY,5,93.131317,8
LUCIS,5,89.142548,8
TRUST,5,96.944992,8
,4,-1.0,8
COPYRIGHT,5,91.611549,8
©,5,96.619286,8
RENEWED,5,96.83931,8
1979,5,96.815399,8
BY,5,93.160118,8
LUCIS,5,92.73494,8
TRUST,5,96.962059,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Copysight,5,16.828453,28
©1998,5,72.662079,7
LUCIS,5,66.143906,28
TRUST,5,96.528076,7
