text,level,conf,height
,1,-1.0,792
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
LETTERS,5,95.613213,11
ON,5,95.613213,11
OCCULT,5,96.453156,11
MEDITATION,5,96.690643,11
,2,-1.0,38
,3,-1.0,38
,4,-1.0,8
RECEIVED,5,96.481544,8
AND,5,96.481544,8
EDITED,5,96.490616,8
,4,-1.0,8
BY,5,96.206085,8
,4,-1.0,8
ALICE,5,94.065758,8
A.,5,88.322144,8
BAILEY,5,88.322144,8
,2,-1.0,22
,3,-1.0,22
,4,-1.0,8
COPYRIGHT,5,61.76754,8
©,5,96.334137,8
1950,5,86.200493,8
BY,5,93.078857,8
LUCIS,5,92.036934,8
TRUST,5,96.955704,8
,4,-1.0,8
COPYRIGHT,5,92.873192,8
©,5,96.589912,8
RENEWED,5,96.936142,8
1978,5,96.31736,8
BY,5,93.240234,8
LUCIS,5,91.81823,8
TRUST,5,96.983131,8
,2,-1.0,70
,3,-1.0,70
,4,-1.0,8
Dedicated,5,91.881149,8
to,5,84.32972,7
The,5,84.32972,8
Tibetan,5,96.5252,8
Teacher,5,95.720383,8
,4,-1.0,8
who,5,92.974609,8
,4,-1.0,8
wrote,5,56.255798,7
these,5,88.968834,8
letters,5,80.402168,8
,4,-1.0,8
and,5,86.893555,8
,4,-1.0,11
‘authorised,5,69.560089,8
their,5,93.076157,8
publication,5,91.998047,11
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
FOREWORD,5,96.369965,10
,2,-1.0,43
,3,-1.0,43
,4,-1.0,11
‘The,5,72.690964,8
following,5,92.419327,11
letters,5,56.067024,8
were,5,94.6185,6
received,5,95.791985,8
dur,5,62.909695,8
,4,-1.0,11
‘and,5,75.635681,8
October,5,93.778481,8
"20th,",5,92.5355,8
"1920,",5,95.052185,8
with,5,96.889343,8
the,5,96.889343,28
exception,5,95.8955,11
ofthe,5,87.32653,8
two,5,96.411522,6
letters,5,79.950615,8
which,5,96.789421,8
were,5,96.629807,6
received,5,94.114639,8
in,5,96.914124,6
1919.,5,92.550354,8
Wi,5,95.853424,8
,4,-1.0,11
the,5,71.187637,8
consent,5,96.554718,7
oftheir,5,59.188011,8
author,5,93.664238,8
they,5,93.664238,11
have,5,96.801826,8
been,5,96.902977,8
gathered,5,96.60318,11
together,5,60.477917,11
for,5,60.477917,8
"publication,",5,80.964775,11
,2,-1.0,24
,3,-1.0,24
,4,-1.0,11
the,5,84.516251,8
period,5,95.882065,11
included,5,95.09967,8
within,5,70.075592,8
the,5,70.075592,28
"dates,",5,96.732231,28
May,5,96.514183,11
"16th,",5,91.657249,9
"1920,",5,96.80381,9
,4,-1.0,8
ih,5,72.523499,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,42
,3,-1.0,42
,4,-1.0,11
‘They,5,71.40789,28
are,5,79.713173,28
published,5,96.782074,28
in,5,96.567673,6
full,5,73.66951,28
as,5,63.93251,28
