text,level,conf,height
,1,-1.0,666
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
‘THE,5,81.161514,10
EXPERT'S,5,64.684029,10
VOICE®,5,63.76281,10
IN,5,63.76281,10
COBOL,5,73.463524,10
,2,-1.0,109
,3,-1.0,109
,4,-1.0,21
POLL,5,30.342484,3
"lll,",5,0.0,8
,4,-1.0,47
Beginning,5,96.626137,47
,2,-1.0,152
,3,-1.0,152
,4,-1.0,63
COBOL,5,96.690895,63
for,5,96.851822,45
,4,-1.0,76
Programmers,5,96.784821,76
,2,-1.0,39
,3,-1.0,39
,4,-1.0,11
AC,5,30.458664,10
a,5,21.445267,10
eee,5,10.306992,25
,4,-1.0,10
ON,5,78.394234,10
COBOL,5,96.410294,10
FOR,5,93.06871,10
ESTABLIS!,5,44.952538,10
,4,-1.0,10
PROGRAMMERS,5,91.577621,10
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Michael,5,90.022659,13
Coughlan,5,26.626831,16
,2,-1.0,47
,3,-1.0,47
,4,-1.0,19
ML//////,5,0.0,19
1/111,5,31.361702,32
hh,5,37.416229,32
hha,5,36.821388,19
,4,-1.0,30
Apress°,5,62.720978,30
