text,level,conf,height
,1,-1.0,666
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
 ,5,95.0,26
,2,-1.0,272
,3,-1.0,272
,4,-1.0,21
POLL,5,34.155815,3
"lige,",5,18.095612,8
,4,-1.0,54
Building,5,96.9487,54
,4,-1.0,68
Windows,5,96.43351,55
8.1,5,96.383179,55
Apps,5,96.383179,68
,4,-1.0,53
from,5,96.351517,43
the,5,96.31073,42
Ground,5,96.364563,43
Up,5,96.712166,52
,2,-1.0,39
,3,-1.0,39
,4,-1.0,10
CREATE,5,50.25362,10
YOUR,5,96.65313,10
OWN,5,96.599052,10
WINDOWS,5,92.596397,10
8,5,92.596397,10
4PPS,5,83.12326,10
,4,-1.0,10
FROM,5,78.721939,10
SCRATCH,5,90.551643,10
WITH,5,92.641197,10
THIS,5,66.853561,10
,4,-1.0,9
FOLLOW-ALONG,5,78.629005,9
TUTORIAL,5,96.171623,9
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Emanuele,5,96.953072,13
"Garofalo,",5,96.14238,15
Antonio,5,93.177582,13
"Liccardi,",5,84.149902,14
and,5,96.713608,10
Michele,5,96.857262,13
Aponte,5,93.209061,16
,2,-1.0,46
,3,-1.0,46
,4,-1.0,19
COLL/////L,5,0.0,19
44d,5,20.704254,31
hh,5,41.501076,31
ddd,5,31.338058,19
,4,-1.0,29
Apress®,5,13.51429,29
