text,level,conf,height
,1,-1.0,666
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
 ,5,95.0,666
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
SECOND,5,81.055519,10
EDITION,5,96.610672,10
,2,-1.0,31
,3,-1.0,31
,4,-1.0,12
Use,5,93.041534,9
your,5,93.301216,8
C#,5,57.641159,9
coding,5,96.639595,11
skills,5,96.847221,10
to,5,94.509483,8
develop,5,92.111443,12
,4,-1.0,13
C++,5,83.42923,9
applications,5,90.132912,13
with,5,96.719772,10
ease,5,96.792061,7
,2,-1.0,171
,3,-1.0,171
,4,-1.0,70
C++,5,92.89817,70
2013,5,89.432404,70
for,5,95.935074,50
,4,-1.0,81
Cx,5,65.797409,70
Developers,5,96.671288,80
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
Dean,5,92.591263,17
C.,5,92.591263,17
Wills,5,96.261307,18
Apress°,5,71.749084,23
