text,level,conf,height
,1,-1.0,576
,2,-1.0,465
,3,-1.0,465
,4,-1.0,92
  ,5,95.0,92
,4,-1.0,66
 ,5,95.0,66
,4,-1.0,119
 ,5,95.0,119
,4,-1.0,88
   ,5,95.0,88
,2,-1.0,250
,3,-1.0,250
,4,-1.0,250
   ,5,95.0,250
,2,-1.0,143
,3,-1.0,143
,4,-1.0,75
CORPORATE,5,21.322891,75
,4,-1.0,71
PUASTICITY,5,18.576279,71
,2,-1.0,59
,3,-1.0,59
,4,-1.0,34
FUNCTIONAL,5,76.978638,34
,4,-1.0,33
phe,5,65.445663,8
EXCELLENCE,5,57.741669,33
,2,-1.0,59
,3,-1.0,59
,4,-1.0,27
How,5,66.010666,23
to.Cuamiea,5,0.0,27
,4,-1.0,29
eeemARD,5,0.0,27
EXCEL,5,96.453949,24
