text,level,conf,height
,1,-1.0,648
,2,-1.0,138
,3,-1.0,138
,4,-1.0,42
KNOW,5,96.147575,42
AND,5,96.147575,38
GROW,5,96.525772,42
,4,-1.0,42
THE,5,96.31208,39
VALUE,5,96.51947,39
OF,5,96.88443,42
,4,-1.0,41
YOUR,5,96.750389,41
BUSINESS,5,95.926308,41
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
An,5,95.186325,17
Owner's,5,23.781807,18
Guide,5,96.881889,18
to,5,96.978615,17
Retiring,5,96.839722,22
Rich,5,96.75853,18
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Investment,5,94.642532,11
,2,-1.0,165
,3,-1.0,165
,4,-1.0,165
 ,5,95.0,165
