text,level,conf,height
,1,-1.0,648
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
_-,5,36.623611,5
ett,5,41.733494,11
SIdlddTTd,5,0.0,23
TTT,5,0.0,36
gs,5,8.661102,36
sds.,5,0.0,36
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
The,5,96.94371,26
Definitive,5,96.47818,26
Guide,5,96.316986,27
to,5,96.569191,25
,2,-1.0,138
,3,-1.0,138
,4,-1.0,67
HTML5,5,89.964523,67
,4,-1.0,57
WebSocket,5,91.642868,57
,2,-1.0,95
,3,-1.0,91
,4,-1.0,10
BUILD,5,94.549072,10
REAL-TIME,5,96.136322,10
APPLICATIONS,5,93.327721,10
,4,-1.0,89
=|,5,34.391647,89
TH,5,63.708908,10
HTMLS,5,69.060211,10
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Vanessa,5,95.589691,13
"Wang,",5,95.771225,16
Frank,5,94.246628,13
"Salim,",5,96.939705,14
and,5,96.926582,10
Peter,5,93.305984,13
Moskovits,5,57.612015,13
,2,-1.0,47
,3,-1.0,47
,4,-1.0,19
LLL,5,18.494255,19
Lhd,5,38.582939,33
dddldddglaalae,5,0.0,19
,4,-1.0,29
Apress*,5,25.530479,29
