text,level,conf,height
,1,-1.0,666
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
THE,5,96.032166,9
EXPERT'S,5,21.320854,10
VOICE?,5,47.438713,10
INR,5,47.438713,9
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
_-,5,12.771187,5
ap,5,17.913506,9
TIMMTSTVILLTLIELLYSE,5,0.0,22
"SS,",5,34.883186,36
,2,-1.0,187
,3,-1.0,187
,4,-1.0,98
Using,5,91.550255,98
R,5,91.550255,77
,4,-1.0,80
for,5,96.936691,57
Statistics,5,96.657104,80
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Sarah,5,76.298515,14
Stowell,5,95.826752,14
,2,-1.0,46
,3,-1.0,46
,4,-1.0,19
COLL////LL,5,0.0,19
4s,5,23.693375,31
dh,5,28.006882,31
hdd,5,34.985474,19
,4,-1.0,29
Apress®,5,16.462997,29
