text,level,conf,height
,1,-1.0,666
,2,-1.0,225
,3,-1.0,177
,4,-1.0,37
"BUYING,",5,95.614952,37
,4,-1.0,37
"SUPPORTING,",5,96.359055,37
,4,-1.0,33
MAINTAINING,5,96.541763,33
,4,-1.0,33
SOFTWARE,5,96.417969,33
,3,-1.0,33
,4,-1.0,33
AND,5,95.880737,25
EQUIPMENT,5,95.880737,33
,2,-1.0,92
,3,-1.0,92
,4,-1.0,28
An,5,95.824127,20
IT,5,96.255096,20
Manager's,5,0.0,27
Guide,5,96.455048,21
,4,-1.0,28
to,5,96.846336,17
Controlling,5,96.073647,28
the,5,96.828995,21
,4,-1.0,28
Product,5,96.597565,21
Lifecycle,5,96.468727,28
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
aysGoraon-Byrne,5,71.647697,23
