text,level,conf,height
,1,-1.0,666
,2,-1.0,116
,3,-1.0,116
,4,-1.0,116
Bc,5,0.0,116
meet,5,0.0,32
ie,5,35.79435,21
,2,-1.0,130
,3,-1.0,130
,4,-1.0,130
Sistas,5,28.757538,130
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
mplates,5,91.929443,13
and,5,93.831551,15
Forms,5,95.682045,17
Aligned,5,96.787148,39
with,5,96.996979,39
A,5,92.727097,5
,2,-1.0,222
,3,-1.0,222
,4,-1.0,222
 ,5,95.0,222
,2,-1.0,111
,3,-1.0,111
,4,-1.0,56
The,5,49.938248,29
Standard,5,80.654739,29
for,5,96.158714,18
pe,5,33.918709,22
a,5,6.564178,31
nt,5,0.0,2
,4,-1.0,49
Third,5,94.331596,17
Edition,5,93.17366,17
(,5,92.444496,4
on,5,26.43531,49
"3),",5,72.54422,18
,4,-1.0,18
and,5,96.87252,12
Other,5,96.426285,16
Best,5,96.729012,18
Practices,5,92.926422,17
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,305
,3,-1.0,305
,4,-1.0,305
 ,5,95.0,305
