text,level,conf,height
,1,-1.0,685
,2,-1.0,207
,3,-1.0,207
,4,-1.0,23
Richard,5,96.566261,23
Simon,5,96.876991,23
,4,-1.0,28
Critical,5,96.686096,23
History,5,96.850471,28
,4,-1.0,23
of,5,96.85379,22
the,5,96.949249,23
Text,5,96.96006,21
of,5,96.610725,22
the,5,96.892265,23
,4,-1.0,22
New,5,96.688538,21
Testament,5,95.854515,21
,4,-1.0,13
Wherein,5,95.392502,13
is,5,96.977882,13
Established,5,96.623604,13
the,5,96.886826,13
Truth,5,96.928459,13
,2,-1.0,43
,3,-1.0,43
,4,-1.0,12
of,5,96.369934,12
the,5,96.895836,12
Acts,5,96.918404,11
on,5,95.844391,9
which,5,95.844391,12
the,5,96.187874,12
Christian,5,96.823807,12
,4,-1.0,15
Religion,5,96.369812,15
is,5,96.479904,13
Based,5,94.694931,13
,2,-1.0,70
,3,-1.0,70
,4,-1.0,15
"Translated,",5,96.744728,15
Introduced,5,94.976379,13
,4,-1.0,16
By,5,54.290585,2
and,5,70.115326,14
Annotated,5,86.107506,14
by,5,96.991455,16
,4,-1.0,10
ANDREW,5,93.280708,10
HUNWICK,5,92.098793,10
,2,-1.0,540
,3,-1.0,540
,4,-1.0,540
 ,5,95.0,540
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
BRILL,5,96.615166,10
