text,level,conf,height
,1,-1.0,648
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
‘THe,5,69.229012,12
BRITANNICA,5,46.289688,12
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
ENGLISH,5,96.074615,19
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Gutve,5,21.902206,13
to,5,76.001854,8
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Wort,5,10.104095,12
Liverature,5,39.374466,13
,2,-1.0,206
,3,-1.0,183
,4,-1.0,30
FROM,5,96.446686,30
THE,5,95.702477,30
,4,-1.0,29
OLD,5,96.548599,29
ENGLISH,5,96.978691,29
,4,-1.0,42
PERIOD,5,96.610588,42
,4,-1.0,27
THROUGH,5,96.925919,27
THE,5,97.001213,26
,4,-1.0,35
RENAISSANCE,5,93.303757,35
,3,-1.0,26
,4,-1.0,26
Pra,5,0.0,26
ccienk,5,0.0,7
,2,-1.0,602
,3,-1.0,602
,4,-1.0,602
 ,5,95.0,602
