text,level,conf,height
,1,-1.0,600
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,600
,3,-1.0,600
,4,-1.0,600
 ,5,95.0,600
,2,-1.0,80
,3,-1.0,57
,4,-1.0,48
Soo,5,49.971268,48
,4,-1.0,23
Ay,5,0.0,23
,3,-1.0,35
,4,-1.0,16
"is,",5,29.326363,16
,4,-1.0,27
mY,5,18.378937,27
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
&.,5,29.592407,31
,2,-1.0,189
,3,-1.0,189
,4,-1.0,24
O'REILLY’,5,69.298126,24
,4,-1.0,54
Building,5,96.500687,54
,4,-1.0,59
Microservices,5,90.917564,59
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
Designing,5,93.265236,25
Fine-Grained,5,91.861084,21
Systems,5,96.975525,26
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Sam,5,95.285706,19
Newman,5,95.285706,19
,2,-1.0,313
,3,-1.0,313
,4,-1.0,313
 ,5,95.0,313
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,600
,3,-1.0,600
,4,-1.0,600
 ,5,95.0,600
