text,level,conf,height
,1,-1.0,902
,2,-1.0,247
,3,-1.0,247
,4,-1.0,54
Window,5,96.225731,54
Functions,5,96.444099,54
and,5,96.562706,54
,4,-1.0,64
Their,5,88.36898,54
Applications,5,96.725563,64
in,5,96.945702,54
,4,-1.0,65
Signal,5,94.877502,65
Processing,5,96.330063,65
,2,-1.0,226
,3,-1.0,226
,4,-1.0,226
 ,5,95.0,226
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
K.,5,88.34726,21
M.,5,89.250351,21
M.,5,88.797829,20
PRABHU,5,96.089523,22
,2,-1.0,46
,3,-1.0,46
,4,-1.0,46
(8°),5,0.0,46
CRC,5,88.833733,13
Press,5,85.315552,13
