text,level,conf,height
,1,-1.0,648
,2,-1.0,135
,3,-1.0,135
,4,-1.0,9
In,5,43.482292,7
Seicie,5,0.0,28
of,5,81.716843,9
he,5,70.265701,28
wil,5,70.373398,28
arly,5,44.99258,28
modern,5,5.244057,28
Elis,5,3.835976,28
dame,5,69.121674,28
Frank,5,61.925957,28
Whigham,5,0.0,28
,4,-1.0,9
combines,5,65.737106,7
an,5,67.550873,5
ara,5,47.149063,9
of,5,92.36161,7
Engl,5,20.837166,9
Rensoance,5,0.0,8
plays,5,60.07935,9
with,5,60.07935,7
an,5,66.821182,5
eniched,5,29.124817,7
,4,-1.0,9
Sense,5,48.189236,28
of,5,48.189236,28
ther,5,49.118088,28
socal,5,54.964756,28
surroundings,5,22.372864,9
He,5,71.347572,28
tas,5,32.79808,28
the,5,90.724564,28
molent,5,16.999298,28
gesture,5,27.817696,28
of,5,69.6045,28
,4,-1.0,9
Seca,5,24.288429,28
efconsruction,5,0.0,28
that,5,57.03064,28
animate,5,57.03064,28
many,5,79.593597,28
soc,5,60.305779,28
plas,5,59.846268,28
and,5,76.044388,28
the,5,70.501633,28
way,5,74.952278,28
i,5,52.508736,5
,4,-1.0,8
‘ic,5,37.693932,7
drama,5,76.078629,7
interac,5,49.951359,5
withthe,5,58.696522,5
conict-den,5,0.0,28
doers,5,0.0,28
Oso,5,51.30648,28
nk,5,11.419975,8
,4,-1.0,10
"ender,",5,19.42952,10
kinship.,5,48.891796,9
and,5,60.029682,7
service,5,46.97905,5
relatonsops,5,22.343292,9
In,5,70.472725,7
Whigham's,5,44.856163,9
"wie,",5,65.384064,5
The,5,70.260056,7
,4,-1.0,9
‘Spmith,5,0.0,8
Tragedy,5,7.467819,9
nits,5,61.098633,7
te,5,26.375595,7
“mater,5,13.26413,6
of,5,74.501312,28
nur.,5,47.908092,8
a,5,38.508804,5
compen,5,54.486256,28
snd,5,54.486256,28
ara,5,47.190506,7
,4,-1.0,9
ing,5,82.502487,9
dicourse,5,42.52301,7
of,5,64.864334,7
gander,5,45.076313,9
warfare,5,40.985397,7
and,5,40.985397,7
asi,5,19.782547,28
servant,5,42.614037,28
mensions,5,0.0,8
,4,-1.0,9
“rion,5,18.664322,7
of,5,56.875439,28
Faversham,5,18.614845,9
explore,5,32.548843,9
inked,5,73.505722,8
eden,5,0.0,8
of,5,54.978771,28
land.,5,62.825531,8
"sevice,",5,46.225895,5
and,5,46.225895,7
,4,-1.0,9
‘murage,5,0.0,9
in,5,49.298317,5
cout),5,49.298317,8
calture:,5,0.0,7
The,5,94.404953,7
Mura,5,0.0,6
of,5,70.745453,8
Bored,5,49.014278,9
Mariage,5,74.981277,8
and,5,86.919357,7
,4,-1.0,9
Yorkshire,5,51.891411,6
Tragedy,5,46.060501,28
present,5,37.003754,28
powerful,5,37.666264,28
ciigue,5,49.050236,28
of,5,66.53833,7
the,5,70.61235,28
trational,5,34.656593,9
,4,-1.0,9
ingen,5,15.218582,9
of,5,88.903358,28
ish,5,0.0,28
tn,5,44.015804,9
worhera,5,21.681458,28
England,5,64.33606,28
sad,5,62.89024,7
The,5,62.89024,28
Duchess,5,53.112549,9
of,5,67.199356,28
Malt,5,64.45665,28
,4,-1.0,10
‘ploes,5,0.0,28
metaphors,5,40.075706,10
ert,5,38.871731,28
tansreson,5,0.0,10
