text,level,conf,height
,1,-1.0,666
,2,-1.0,72
,3,-1.0,72
,4,-1.0,29
The,5,96.414558,29
Renaissance,5,96.662659,27
Notion,5,96.542656,26
,4,-1.0,30
of,5,96.85009,30
Woman,5,96.756821,27
,2,-1.0,90
,3,-1.0,90
,4,-1.0,26
Astudy,5,92.315727,26
in,5,95.72287,18
the,5,95.72287,20
fortunes,5,96.856438,20
of,5,96.856438,20
,4,-1.0,20
scholasticism,5,92.250702,19
and,5,96.965057,19
medical,5,96.876358,19
science,5,96.577499,18
in,5,96.577499,17
,4,-1.0,26
European,5,96.813522,24
intellectual,5,96.05349,19
life,5,96.997269,19
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
IAN,5,96.351273,18
MACLEAN,5,96.053497,18
,2,-1.0,374
,3,-1.0,374
,4,-1.0,374
 ,5,95.0,374
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
‘CAMBRIOGE,5,35.865974,8
MONOGRAPHS,5,89.707039,8
ON,5,93.967575,28
THE,5,88.95076,8
HISTORY,5,75.532219,8
OF,5,95.627357,28
MEDICINE,5,96.828629,7
