text,level,conf,height
,1,-1.0,792
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Journey,5,96.842842,18
to,5,94.436188,11
Ixtlan,5,96.306374,13
,2,-1.0,61
,3,-1.0,61
,4,-1.0,10
Carlos,5,96.157188,10
Castaneda,5,96.886742,10
,4,-1.0,9
INTRODUCTION,5,93.59317,9
,2,-1.0,88
,3,-1.0,88
,4,-1.0,12
On,5,89.201981,9
"Saturday,",5,94.55719,12
May,5,96.853783,11
"22,",5,96.853783,9
"1971,",5,96.754967,9
I,5,88.493408,8
went,5,88.493408,7
to,5,96.803047,7
"Sonora,",5,96.047485,10
"Mexico,",5,96.047485,10
to,5,91.589478,7
see,5,91.049889,6
don,5,92.311714,9
Juan,5,92.311714,10
"Matus,",5,96.170273,10
a,5,96.198318,6
Yaqui,5,58.455692,12
,4,-1.0,12
Indian,5,93.465179,9
"sorcerer,",5,96.630569,7
with,5,96.96328,9
whom,5,96.298676,9
I,5,95.574982,8
had,5,96.341553,9
been,5,96.908852,9
associated,5,96.333206,9
since,5,96.199486,6
1961.,5,89.236809,8
I,5,90.219643,8
thought,5,94.998375,12
that,5,96.994804,9
my,5,96.791008,9
visit,5,96.914642,7
on,5,87.366173,6
,4,-1.0,12
that,5,96.889496,9
day,5,96.957535,12
was,5,96.867393,6
going,5,96.783333,9
to,5,83.315933,7
be,5,83.315933,9
in,5,96.603493,6
no,5,96.603493,6
way,5,96.732079,9
different,5,95.238777,9
from,5,95.903152,9
the,5,94.996704,9
scores,5,94.996704,6
of,5,96.728165,9
times,5,93.617088,7
I,5,73.452805,8
had,5,88.336937,9
gone,5,92.746689,9
to,5,96.540131,7
see,5,90.877174,6
,4,-1.0,12
him,5,0.0,9
in,5,95.910461,6
the,5,96.474838,9
ten,5,96.143669,7
years,5,96.019608,9
I,5,95.61396,8
had,5,93.343773,9
been,5,85.938942,9
his,5,96.549599,9
apprentice.,5,96.393288,10
The,5,96.981377,9
events,5,96.385681,7
that,5,96.960533,9
took,5,96.867912,9
place,5,96.802422,12
on,5,96.938766,6
that,5,96.972816,9
day,5,96.93396,12
and,5,96.644302,9
,4,-1.0,12
‘on,5,50.45319,6
the,5,96.746307,9
following,5,96.767799,12
"days,",5,96.74704,12
"however,",5,96.74704,11
were,5,95.697731,6
momentous,5,95.697731,7
to,5,96.784912,7
me.,5,96.641922,6
On,5,96.641922,9
that,5,96.365913,9
occasion,5,89.984093,6
my.,5,35.221069,9
,4,-1.0,12
apprenticeship,5,88.680466,12
came,5,84.32589,6
to,5,75.637054,7
an,5,96.718697,6
end.,5,96.87291,9
This,5,96.06604,9
was,5,96.06604,6
not,5,96.948112,7
an,5,96.951347,6
arbitrary,5,94.31752,12
withdrawal,5,96.320946,9
on,5,96.524467,6
my,5,96.231682,9
part,5,58.508438,10
but,5,96.758858,9
a,5,96.483849,6
,4,-1.0,9
bbona,5,62.965336,9
fide,5,96.148376,9
"termination,",5,87.255859,7
,2,-1.0,25
,3,-1.0,25
,4,-1.0,12
Ihave,5,59.155457,9
already,5,95.957901,12
presented,5,96.869064,12
the,5,96.707985,9
case,5,96.88134,6
of,5,94.774437,9
my,5,95.248383,9
apprenticeship,5,96.787468,12
in,5,96.788597,6
two,5,95.587639,7
previous,5,96.275742,9
works:,5,94.91642,9
The,5,93.436661,9
,4,-1.0,12
Teachings,5,88.039124,12
of,5,96.805771,9
Don,5,96.713623,9
Juan,5,88.230331,10
and,5,88.230331,9
A,5,92.308479,8
Separate,5,95.980095,12
Reality,5,91.326584,12
,2,-1.0,38
,3,-1.0,38
,4,-1.0,12
My,5,77.173698,11
basic,5,94.152351,9
assumption,5,94.152351,10
in,5,96.857079,6
both,5,95.409805,9
books,5,85.462761,9
has,5,96.761726,9
been,5,96.770157,9
that,5,95.793228,9
the,5,96.75721,9
articulation,5,95.807892,9
points,5,95.186012,10
in,5,94.55629,6
learning,5,89.611198,12
to,5,88.294739,7
,4,-1.0,12
bea,5,90.271675,9
sorcerer,5,95.05262,6
were,5,96.782036,6
the,5,96.852425,9
states,5,96.942093,7
of,5,93.280357,9
non-ordinary,5,89.472168,12
reality,5,87.899925,12
produced,5,87.899925,12
by,5,96.544197,12
the,5,96.529922,9
ingestion,5,96.529922,10
of,5,96.120171,9
,4,-1.0,12
psychotropic,5,81.551254,12
plants,5,67.955856,12
,2,-1.0,39
,3,-1.0,39
,4,-1.0,12
In,5,93.390671,8
this,5,96.845154,9
respect,5,96.938957,10
don,5,92.716904,9
Juan,5,92.716904,10
was,5,95.43763,6
an,5,96.670158,6
expert,5,96.874756,10
in,5,96.862946,6
the,5,96.754562,9
use,5,95.937759,6
of,5,96.99086,9
three,5,96.975334,9
such,5,96.217682,9
plants:,5,95.269981,12
Datura,5,95.269981,9
"inoxia,",5,92.967827,7
,4,-1.0,12
‘commonly,5,58.029846,12
known,5,93.021164,9
as,5,93.021164,28
jimson,5,92.882141,9
weed;,5,91.626801,10
Lofihophora,5,41.292534,12
"williamsii,",5,85.060204,11
known,5,94.293243,9
as,5,94.293243,6
peyote;,5,96.738937,10
and,5,96.014778,9
a,5,94.454018,6
,4,-1.0,12
hallucinogenic,5,91.1194,12
mushroom,5,94.194382,9
of,5,96.716965,9
the,5,96.716965,9
genus,5,93.30619,9
Psilocybe.,5,77.149467,12
,2,-1.0,51
,3,-1.0,51
,4,-1.0,12
My,5,90.704651,11
perception,5,91.673653,10
of,5,91.673653,9
the,5,96.839706,9
world,5,96.70694,9
through,5,96.317757,12
the,5,96.804214,9
effects,5,96.948387,9
of,5,96.966812,9
those,5,93.214355,9
psychotropics,5,66.056305,12
had,5,96.848778,9
been,5,79.183304,28
so,5,95.552002,28
,4,-1.0,12
bizarre,5,94.269432,9
and,5,95.759415,9
impressive,5,95.89991,9
that,5,96.944412,9
I,5,91.263481,8
was,5,96.979897,6
forced,5,90.650581,9
to,5,96.714668,7
assume,5,96.339844,6
that,5,95.147499,9
such,5,96.253845,9
states,5,96.91021,7
were,5,96.390266,6
the,5,96.390266,9
only,5,96.758621,12
avenue,5,96.447708,6
,4,-1.0,12
to,5,88.021324,7
communicating,5,93.43235,10
and,5,96.890129,9
learning,5,96.20578,12
what,5,96.432007,9
don,5,96.776299,9
Juan,5,96.776299,10
was,5,96.672279,6
attempting,5,94.092041,10
to,5,96.982712,7
teach,5,95.834778,9
me.,5,96.508568,6
That,5,71.83918,9
,4,-1.0,10
assumption,5,81.578636,10
was,5,83.457977,6
erroneous.,5,93.451714,6
,2,-1.0,25
,3,-1.0,25
,4,-1.0,12
For,5,96.176155,9
the,5,96.903008,9
purposes,5,96.56279,9
of,5,96.980217,9
avoiding,5,96.056061,12
any,5,93.303879,9
misunderstandings,5,91.655624,12
about,5,96.854965,9
my,5,96.817062,9
work,5,96.586563,9
with,5,96.586563,9
don,5,96.608253,9
Juan,5,96.78923,10
I,5,66.299614,8
,4,-1.0,12
‘would,5,43.356075,9
like,5,96.910385,9
to,5,93.860146,7
clarify,5,60.853535,12
the,5,83.122238,9
following,5,96.791473,12
issues,5,96.868645,9
at,5,96.810356,28
this,5,96.810356,9
point.,5,96.444778,10
,2,-1.0,38
,3,-1.0,38
,4,-1.0,12
So,5,94.921257,9
far,5,89.787834,9
[have,5,76.208374,9
made,5,96.627121,9
no,5,96.68586,6
attempt,5,91.196609,10
whatsoever,5,96.296265,9
to,5,95.482872,7
place,5,96.885643,12
don,5,95.60508,9
Juan,5,95.60508,10
in,5,93.086746,6
a,5,93.086746,28
cultural,5,95.401184,9
milieu.,5,91.665352,9
The,5,93.704361,9
,4,-1.0,12
fact,5,96.07991,9
that,5,96.07991,9
he,5,96.586639,9
considers,5,96.478516,9
himself,5,70.355942,9
to,5,70.355942,7
be,5,93.421288,9
a,5,96.550507,6
Yaqui,5,96.394722,12
Indian,5,96.868744,9
does,5,96.962059,9
not,5,96.781425,7
mean,5,94.928574,6
that,5,94.928574,9
his,5,96.962029,9
knowledge,5,96.85569,12
of,5,96.996246,9
,4,-1.0,12
sorcery,5,93.733704,9
is,5,92.143539,6
known,5,92.143539,9
to,5,96.930893,7
or,5,95.007004,6
practiced,5,96.834572,12
by,5,96.909119,12
the,5,96.972588,9
Yaqui,5,94.333862,11
Indians,5,96.536102,9
in,5,96.740013,28
general.,5,80.998962,12
,2,-1.0,38
,3,-1.0,38
,4,-1.0,12
All,5,82.253502,9
the,5,95.939041,9
conversations,5,95.590172,7
that,5,95.590172,9
don,5,95.995781,9
Juan,5,96.756241,10
and,5,96.756241,9
I,5,85.321716,8
have,5,93.073105,9
had,5,96.177483,9
throughout,5,96.946663,12
the,5,96.977966,9
apprenticeship,5,92.541077,12
,4,-1.0,12
‘were,5,46.43013,6
conducted,5,96.552666,9
in,5,96.618294,6
"Spanish,",5,93.900818,12
and,5,96.767715,9
only,5,94.760513,12
because,5,96.770111,9
of,5,96.971176,28
his,5,96.413857,9
thorough,5,90.825302,12
command,5,96.743721,9
of,5,96.546326,9
that,5,96.626961,9
language,5,96.875214,12
,4,-1.0,12
‘was,5,67.153656,6
I,5,71.849098,8
capable,5,71.849098,12
of,5,96.560806,9
obtaining,5,96.560806,12
complex,5,96.840149,12
explanations,5,96.489319,12
of,5,96.97316,9
his,5,96.956322,9
system,5,92.654655,10
of,5,92.654655,9
beliefs.,5,76.102074,9
,2,-1.0,39
,3,-1.0,39
,4,-1.0,12
Thave,5,88.969849,9
maintained,5,96.588982,9
the,5,96.980667,9
practice,5,96.94812,10
of,5,96.991783,9
referring,5,92.708282,12
to,5,96.853287,7
that,5,96.410774,28
system,5,96.441002,10
as,5,88.65567,6
sorcery,5,96.473373,9
and,5,91.153275,9
Ihave,5,74.701324,9
also,5,60.39526,9
,4,-1.0,12
‘maintained,5,66.558922,9
the,5,89.645653,9
practice,5,96.894981,10
of,5,96.962433,9
referring,5,94.897903,12
to,5,96.735268,7
don,5,95.441452,9
Juan,5,96.832878,10
as,5,93.509377,6
a,5,94.162605,28
"sorcerer,",5,96.888802,7
because,5,96.949623,9
these,5,96.789345,9
were,5,91.135818,6
,4,-1.0,12
categories,5,89.965279,10
he,5,96.989525,9
himself,5,96.322441,9
"used,",5,81.523682,9
