text,level,conf,height
,1,-1.0,792
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
The,5,96.80262,14
Fire,5,96.945068,14
from,5,96.507584,14
Within,5,96.420174,14
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
By,5,96.546661,12
Carlos,5,96.728745,10
Castaneda,5,96.884552,10
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Contents,5,87.185822,9
,2,-1.0,227
,3,-1.0,227
,4,-1.0,10
FOREWORD,5,95.989799,10
,4,-1.0,10
1.,5,74.26281,9
The,5,96.046829,10
New,5,93.25341,9
Seers,5,60.805283,10
,4,-1.0,12
Petty,5,95.827911,12
Tyrants,5,96.776596,12
,4,-1.0,13
‘The,5,92.578171,10
Eagle’s,5,89.072113,13
Emanations,5,92.891388,9
,4,-1.0,10
‘The,5,90.874786,10
Glow,5,91.675285,10
of,5,96.934692,10
Awareness,5,94.102753,10
,4,-1.0,10
‘The,5,90.266922,10
First,5,96.634911,9
Attention,5,95.904549,9
,4,-1.0,12
Inorganic,5,84.705826,12
Beings,5,96.5252,12
,4,-1.0,13
‘The,5,90.44297,10
Assemblage,5,96.403252,13
Point,5,96.955101,9
,4,-1.0,13
‘The,5,91.601837,10
Position,5,96.964363,9
of,5,96.831848,10
the,5,96.753174,10
Assemblage,5,91.811874,13
Point,5,96.688179,9
,4,-1.0,10
‘The,5,83.229996,10
Shift,5,96.42643,10
Below,5,96.794746,10
,2,-1.0,178
,3,-1.0,178
,4,-1.0,178
era,5,0.0,57
aween,5,0.0,103
,2,-1.0,228
,3,-1.0,228
,4,-1.0,10
10.Great,5,72.863571,10
Bands,5,96.951096,10
of,5,93.290901,10
Emanations,5,91.723404,9
,4,-1.0,13
"11.Stalking,",5,38.105797,13
"Intent,",5,96.583618,10
and,5,96.982109,10
the,5,96.867798,10
Dreaming,5,96.407181,12
Position,5,74.674652,9
,4,-1.0,13
12.The,5,34.415733,10
Nagual,5,92.493111,13
Julian,5,87.139648,10
,4,-1.0,10
13.The,5,58.667343,10
Earth’s,5,92.2658,10
Boost,5,87.867722,9
,4,-1.0,13
"14,The",5,63.070438,10
Rolling,5,95.823059,13
Force,5,86.164085,9
,4,-1.0,10
15.The,5,36.512142,10
Death,5,93.232796,10
Defiers,5,90.653023,10
,4,-1.0,10
16.The,5,58.162949,10
Mold,5,95.474182,10
of,5,95.474182,10
Man,5,87.820808,9
,4,-1.0,13
17.The,5,65.20433,10
Joumey,5,53.426285,12
of,5,96.304535,10
the,5,96.867226,10
Dreaming,5,95.475357,12
Body,5,95.075668,13
,4,-1.0,13
18.Breaking,5,70.891312,13
the,5,95.753235,10
Barrier,5,87.061745,9
of,5,96.423866,10
Perception,5,93.780731,13
,4,-1.0,10
"EPILOGUE,",5,68.887833,10
