text,level,conf,height
,1,-1.0,667
,2,-1.0,667
,3,-1.0,667
,4,-1.0,667
 ,5,95.0,667
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
METHODS#N,5,0.0,10
MOLECULAR,5,91.934006,10
MEDICINE™,5,91.256264,11
,2,-1.0,161
,3,-1.0,161
,4,-1.0,55
Cystic,5,94.873337,54
Fibrosis,5,94.281189,43
,4,-1.0,43
Methods,5,95.599419,43
,4,-1.0,43
and,5,96.506783,43
Protocols,5,65.558014,43
,2,-1.0,58
,3,-1.0,58
,4,-1.0,18
Edited,5,96.73687,14
by,5,96.986053,18
,4,-1.0,26
William,5,93.279396,22
R.,5,91.213486,20
Skachppup',5,0.0,26
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
