text,level,conf,height
,1,-1.0,701
,2,-1.0,94
,3,-1.0,94
,4,-1.0,49
Infinite,5,91.115463,27
Love,5,96.67971,27
is,5,94.596245,27
the,5,49.009586,27
Only’,5,49.009586,32
TeMth,5,0.0,44
,4,-1.0,31
Fverything,5,40.19051,30
t\se:is,5,11.211945,26
\ilusion,5,26.153366,26
,2,-1.0,31
,3,-1.0,31
,4,-1.0,17
Exposing,5,96.79277,14
the,5,92.316803,11
dréamworld,5,62.289574,17
we,5,96.94899,8
believe,5,95.147102,11
to,5,93.685577,10
be,5,94.702393,11
‘real,5,95.915695,10
,4,-1.0,10
x,5,89.973984,10
,2,-1.0,530
,3,-1.0,530
,4,-1.0,530
 ,5,95.0,530
