text,level,conf,height
,1,-1.0,792
,2,-1.0,126
,3,-1.0,126
,4,-1.0,12
‘The,5,86.138588,12
Webmaster,5,96.592232,12
of,5,97.009483,12
Illuminati,5,86.314644,12
News,5,96.871025,12
,4,-1.0,12
Presents:,5,96.972809,12
,4,-1.0,17
The,5,96.90007,16
Illuminati,5,0.0,17
Formula,5,96.208641,16
Used,5,96.763771,16
to,5,96.388443,15
Create,5,96.87439,17
an,5,96.87439,11
,4,-1.0,16
Undetectable,5,92.736794,16
,4,-1.0,17
Total,5,96.189262,16
Mind,5,96.924805,17
Controlled,5,96.919075,17
Slave,5,96.784042,17
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
by,5,95.585526,13
Cisco,5,96.093521,12
Wheeler,5,96.093521,12
and,5,96.937714,12
Fritz,5,93.281647,13
Springmeier,5,92.91153,16
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
TABLE,5,96.756424,12
OF,5,96.361702,12
CONTENTS,5,96.200775,12
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Introduction,5,96.420883,12
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
 ,5,95.0,12
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
The,5,96.964119,12
12,5,96.95755,12
Major,5,96.95755,16
Sciences,5,96.801964,12
of,5,96.862259,12
Monarch,5,96.790977,12
Mind,5,96.964989,12
Control,5,96.5299,12
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
I.,5,79.041168,12
The,5,96.938309,12
Selection,5,93.259521,12
&,5,93.259521,12
Preparation,5,96.870834,14
of,5,96.979385,12
the,5,96.95546,12
Vi,5,96.419373,12
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
 ,5,95.0,12
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,212
,3,-1.0,12
,4,-1.0,12
A.,5,82.388153,12
Genetics,5,93.292572,12
&,5,93.292572,12
dissociative,5,92.487434,12
abilities,5,92.372658,12
,3,-1.0,16
,4,-1.0,16
B.,5,66.306511,12
Availability,5,95.08139,16
,3,-1.0,16
,4,-1.0,16
C.,5,89.596359,12
Physical,5,93.250511,16
&,5,93.250511,12
Mental,5,96.793686,12
requirements,5,95.496239,14
,3,-1.0,73
,4,-1.0,16
D.,5,93.225037,12
List,5,95.760246,12
of,5,97.014954,12
organizations,5,94.543465,14
carrying,5,91.227371,12
out,5,96.906364,10
prog,5,96.906364,12
,4,-1.0,16
E.,5,57.249283,12
4,5,96.852074,12
foundational,5,92.415825,12
steps,5,96.994438,14
for,5,96.979568,12
programming,5,94.619797,12
,4,-1.0,16
F.,5,74.341995,12
Step,5,96.87281,16
1.,5,90.066299,12
Spiritual,5,95.574242,16
"requirements,",5,96.934601,14
Moon,5,96.93644,12
Child,5,96.921753,12
,4,-1.0,11
"ceremonies,",5,93.297043,9
traumatization,5,92.761635,10
in,5,96.579582,8
vitro,5,95.373787,10
,3,-1.0,16
,4,-1.0,16
G.,5,87.88501,12
Step,5,96.857536,16
2.,5,96.72065,12
Trauma,5,96.481667,12
by,5,94.9048,16
premature,5,94.9048,14
birth,5,96.872704,12
,3,-1.0,16
,4,-1.0,16
H.,5,87.805588,12
Step,5,91.413727,16
3.,5,91.413727,12
Love,5,93.270042,12
bombing/love,5,85.050415,16
bonding,5,95.44561,16
,3,-1.0,16
,4,-1.0,16
I.,5,90.688606,12
Step,5,95.854744,16
4.,5,93.305954,32
Severing,5,91.030746,16
the,5,96.100136,12
"""core""",5,84.928375,12
of,5,95.972153,12
the,5,96.410469,12
mind,5,96.072136,12
,3,-1.0,12
,4,-1.0,12
J.,5,94.317993,12
Further,5,96.403351,12
considerations,5,94.138206,12
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
amming,5,68.835907,12
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
II.,5,87.209923,12
The,5,93.299667,12
Traumatization,5,92.183075,12
&,5,93.263771,12
Torture,5,96.914368,12
of,5,96.914368,12
the,5,96.847023,12
Vi,5,96.042381,12
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
 ,5,95.0,12
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,112
,3,-1.0,55
,4,-1.0,14
A.,5,95.920242,12
A,5,95.280075,12
site,5,95.280075,10
for,5,96.993187,12
torture,5,96.425316,10
of,5,95.616806,12
"children,",5,93.305183,14
NOTS,5,91.646194,12
China,5,96.829277,12
Lake,5,97.013802,12
,4,-1.0,13
B.,5,89.993492,12
What,5,95.462692,12
trauma,5,95.462692,10
"does,",5,96.832169,13
the,5,96.587822,12
creation,5,96.006493,10
of,5,96.006493,12
PTSD,5,93.121819,12
&,5,93.033409,12
DID,5,93.29142,12
,4,-1.0,15
(MPD),5,96.816742,15
,3,-1.0,32
,4,-1.0,16
C.,5,83.312332,12
How,5,96.849617,12
the,5,96.869194,12
torture,5,96.841965,10
is,5,95.205948,8
carried,5,96.44767,12
"out,",5,95.262825,12
types,5,95.262825,14
of,5,91.637238,12
trauma,5,91.637238,10
,4,-1.0,12
D.,5,92.765732,12
How,5,96.874779,12
MPD,5,96.308273,12
works,5,96.990761,12
,3,-1.0,12
,4,-1.0,12
E.,5,92.706322,12
The,5,96.950935,12
Core,5,96.880508,12
,2,-1.0,792
,3,-1.0,792
,4,-1.0,792
 ,5,95.0,792
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
mv~persewervit,5,15.376503,8
tents,5,60.927673,4
himi,5,58.714275,6
(1,5,94.433983,21
of,5,94.433983,21
4),5,95.439491,21
(7/18/2000,5,83.814423,4
7:49:23,5,95.364395,21
PM],5,85.133408,8
