text,level,conf,height
,1,-1.0,684
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Mathematical,5,96.761627,12
Physics,5,96.928322,16
Studies,5,89.397026,12
,2,-1.0,81
,3,-1.0,81
,4,-1.0,19
Akinori,5,93.143303,19
Tanaka,5,93.143303,19
,4,-1.0,25
Akio,5,78.266403,19
Tomiya,5,78.266403,25
,4,-1.0,25
Koji,5,96.585442,25
Hashimoto,5,96.955376,19
,2,-1.0,218
,3,-1.0,218
,4,-1.0,218
 ,5,95.0,218
,2,-1.0,136
,3,-1.0,136
,4,-1.0,66
Deep,5,96.841225,66
Learning,5,96.833794,66
,4,-1.0,69
and,5,95.390495,54
Physics,5,95.390495,69
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,91.08992,29
Springer,5,96.290253,31
